0 fail, cost: 344 ms
1 fail, cost: 326 ms
2 fail, cost: 437 ms
3 fail, cost: 415 ms
4 fail, cost: 478 ms
5 fail, cost: 1132 ms
6 fail, cost: 635 ms
7 fail, cost: 545 ms
8 fail, cost: 583 ms
9 fail, cost: 497 ms
10 fail, cost: 1095 ms
11 fail, cost: 545 ms
12 fail, cost: 689 ms
13 fail, cost: 599 ms
14 fail, cost: 605 ms
15 fail, cost: 1221 ms
16 fail, cost: 664 ms
17 fail, cost: 495 ms
18 fail, cost: 595 ms
19 fail, cost: 600 ms
20 fail, cost: 587 ms
21 fail, cost: 1235 ms
22 fail, cost: 720 ms
23 fail, cost: 473 ms
24 fail, cost: 551 ms
25 fail, cost: 562 ms
26 fail, cost: 1318 ms
1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
27 success, cost: 280 ms
28 fail, cost: 630 ms
29 fail, cost: 547 ms
30 fail, cost: 552 ms
31 fail, cost: 1048 ms
32 fail, cost: 531 ms
33 fail, cost: 493 ms
34 fail, cost: 515 ms
35 fail, cost: 400 ms
36 fail, cost: 434 ms
37 fail, cost: 1033 ms
38 fail, cost: 568 ms
39 fail, cost: 356 ms
40 fail, cost: 524 ms
41 fail, cost: 366 ms
42 fail, cost: 404 ms
43 fail, cost: 410 ms
44 fail, cost: 1089 ms
45 fail, cost: 423 ms
46 fail, cost: 544 ms
47 fail, cost: 532 ms
48 fail, cost: 505 ms
49 fail, cost: 415 ms
50 fail, cost: 981 ms
51 fail, cost: 438 ms
52 fail, cost: 443 ms
53 fail, cost: 476 ms
54 fail, cost: 548 ms
55 fail, cost: 493 ms
56 fail, cost: 1138 ms
57 fail, cost: 396 ms
58 fail, cost: 459 ms
59 fail, cost: 336 ms
60 fail, cost: 536 ms
61 fail, cost: 367 ms
62 fail, cost: 468 ms
63 fail, cost: 1060 ms
64 fail, cost: 558 ms
1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
65 success, cost: 305 ms
66 fail, cost: 596 ms
67 fail, cost: 534 ms
68 fail, cost: 609 ms
69 fail, cost: 1073 ms
70 fail, cost: 581 ms
71 fail, cost: 529 ms
72 fail, cost: 654 ms
73 fail, cost: 420 ms
74 fail, cost: 1257 ms
75 fail, cost: 684 ms
76 fail, cost: 710 ms
77 fail, cost: 510 ms
78 fail, cost: 451 ms
79 fail, cost: 484 ms
80 fail, cost: 1129 ms
81 fail, cost: 566 ms
82 fail, cost: 637 ms
83 fail, cost: 533 ms
84 fail, cost: 544 ms
85 fail, cost: 1168 ms
86 fail, cost: 822 ms
87 fail, cost: 719 ms
88 fail, cost: 521 ms
89 fail, cost: 468 ms
90 fail, cost: 1279 ms
91 fail, cost: 612 ms
