0 fail, cost: 886 ms
1 fail, cost: 974 ms
2 fail, cost: 1533 ms
3 fail, cost: 819 ms
4 fail, cost: 890 ms
5 fail, cost: 972 ms
6 fail, cost: 1426 ms
7 fail, cost: 865 ms
8 fail, cost: 1106 ms
9 fail, cost: 1317 ms
10 fail, cost: 927 ms
11 fail, cost: 1076 ms
12 fail, cost: 744 ms
13 fail, cost: 1372 ms
14 fail, cost: 783 ms
15 fail, cost: 878 ms
16 fail, cost: 1653 ms
17 fail, cost: 1281 ms
18 fail, cost: 1318 ms
19 fail, cost: 723 ms
20 fail, cost: 1307 ms
21 fail, cost: 684 ms
22 fail, cost: 1016 ms
23 fail, cost: 1489 ms
24 fail, cost: 1169 ms
25 fail, cost: 984 ms
26 fail, cost: 1513 ms
27 fail, cost: 915 ms
28 fail, cost: 1297 ms
29 fail, cost: 1071 ms
30 fail, cost: 1528 ms
31 fail, cost: 842 ms
32 fail, cost: 818 ms
33 fail, cost: 1515 ms
34 fail, cost: 1499 ms
35 fail, cost: 1304 ms
36 fail, cost: 1690 ms
37 fail, cost: 910 ms
38 fail, cost: 813 ms
39 fail, cost: 1286 ms
40 fail, cost: 1028 ms
41 fail, cost: 949 ms
42 fail, cost: 855 ms
43 fail, cost: 1520 ms
44 fail, cost: 1081 ms
45 fail, cost: 1009 ms
46 fail, cost: 1346 ms
47 fail, cost: 703 ms
48 fail, cost: 1021 ms
49 fail, cost: 888 ms
50 fail, cost: 1377 ms
51 fail, cost: 936 ms
52 fail, cost: 1148 ms
53 fail, cost: 1608 ms
54 fail, cost: 1117 ms
55 fail, cost: 897 ms
56 fail, cost: 1004 ms
0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
57 success, cost: 842 ms
58 fail, cost: 737 ms
59 fail, cost: 652 ms
60 fail, cost: 949 ms
61 fail, cost: 1405 ms
62 fail, cost: 823 ms
63 fail, cost: 889 ms
64 fail, cost: 2023 ms
65 fail, cost: 1030 ms
66 fail, cost: 1331 ms
67 fail, cost: 1319 ms
68 fail, cost: 995 ms
69 fail, cost: 1134 ms
70 fail, cost: 1546 ms
71 fail, cost: 951 ms
72 fail, cost: 1154 ms
73 fail, cost: 1396 ms
74 fail, cost: 854 ms
75 fail, cost: 773 ms
76 fail, cost: 880 ms
77 fail, cost: 1755 ms
78 fail, cost: 1008 ms
79 fail, cost: 963 ms
80 fail, cost: 1849 ms
81 fail, cost: 1054 ms
82 fail, cost: 1034 ms
83 fail, cost: 1414 ms
84 fail, cost: 725 ms
85 fail, cost: 685 ms
86 fail, cost: 758 ms
87 fail, cost: 1235 ms
88 fail, cost: 851 ms
89 fail, cost: 772 ms
90 fail, cost: 767 ms
91 fail, cost: 1222 ms
92 fail, cost: 736 ms
93 fail, cost: 689 ms
94 fail, cost: 1236 ms
95 fail, cost: 1780 ms
96 fail, cost: 1111 ms
97 fail, cost: 1007 ms
98 fail, cost: 1822 ms
99 fail, cost: 1002 ms
100 fail, cost: 1203 ms
101 fail, cost: 1732 ms
102 fail, cost: 1049 ms
103 fail, cost: 776 ms
104 fail, cost: 740 ms
105 fail, cost: 1340 ms
106 fail, cost: 864 ms
107 fail, cost: 744 ms
108 fail, cost: 1327 ms
109 fail, cost: 786 ms
110 fail, cost: 740 ms
111 fail, cost: 548 ms
112 fail, cost: 804 ms
113 fail, cost: 1267 ms
114 fail, cost: 683 ms
115 fail, cost: 696 ms
116 fail, cost: 1825 ms
117 fail, cost: 897 ms
118 fail, cost: 1114 ms
119 fail, cost: 934 ms
120 fail, cost: 1986 ms
121 fail, cost: 830 ms
122 fail, cost: 1053 ms
123 fail, cost: 1487 ms
124 fail, cost: 1088 ms
125 fail, cost: 1160 ms
126 fail, cost: 867 ms
127 fail, cost: 1423 ms
128 fail, cost: 942 ms
129 fail, cost: 897 ms
130 fail, cost: 1342 ms
131 fail, cost: 685 ms
132 fail, cost: 961 ms
133 fail, cost: 929 ms
134 fail, cost: 1258 ms
135 fail, cost: 670 ms
