0 fail, cost: 683 ms
1 fail, cost: 966 ms
2 fail, cost: 1699 ms
3 fail, cost: 1097 ms
4 fail, cost: 848 ms
5 fail, cost: 1466 ms
6 fail, cost: 898 ms
7 fail, cost: 1181 ms
8 fail, cost: 848 ms
9 fail, cost: 1268 ms
10 fail, cost: 830 ms
11 fail, cost: 1056 ms
12 fail, cost: 938 ms
13 fail, cost: 1767 ms
14 fail, cost: 1105 ms
15 fail, cost: 774 ms
16 fail, cost: 1678 ms
17 fail, cost: 957 ms
18 fail, cost: 1203 ms
19 fail, cost: 1205 ms
20 fail, cost: 671 ms
21 fail, cost: 738 ms
22 fail, cost: 766 ms
23 fail, cost: 1600 ms
24 fail, cost: 671 ms
25 fail, cost: 607 ms
26 fail, cost: 658 ms
27 fail, cost: 1271 ms
28 fail, cost: 785 ms
29 fail, cost: 780 ms
30 fail, cost: 752 ms
31 fail, cost: 1284 ms
32 fail, cost: 820 ms
33 fail, cost: 786 ms
34 fail, cost: 877 ms
35 fail, cost: 1813 ms
36 fail, cost: 1035 ms
37 fail, cost: 1007 ms
38 fail, cost: 1525 ms
39 fail, cost: 719 ms
40 fail, cost: 1139 ms
41 fail, cost: 659 ms
42 fail, cost: 1478 ms
43 fail, cost: 876 ms
44 fail, cost: 1139 ms
45 fail, cost: 1507 ms
46 fail, cost: 1023 ms
47 fail, cost: 920 ms
48 fail, cost: 822 ms
49 fail, cost: 1336 ms
50 fail, cost: 857 ms
51 fail, cost: 698 ms
52 fail, cost: 979 ms
53 fail, cost: 1526 ms
54 fail, cost: 865 ms
55 fail, cost: 921 ms
56 fail, cost: 1710 ms
57 fail, cost: 1067 ms
58 fail, cost: 927 ms
59 fail, cost: 587 ms
60 fail, cost: 1316 ms
61 fail, cost: 812 ms
62 fail, cost: 770 ms
63 fail, cost: 539 ms
64 fail, cost: 1665 ms
65 fail, cost: 1200 ms
66 fail, cost: 1055 ms
67 fail, cost: 1585 ms
68 fail, cost: 1123 ms
69 fail, cost: 665 ms
70 fail, cost: 1516 ms
71 fail, cost: 958 ms
72 fail, cost: 1006 ms
73 fail, cost: 631 ms
74 fail, cost: 1409 ms
75 fail, cost: 714 ms
76 fail, cost: 1007 ms
77 fail, cost: 941 ms
78 fail, cost: 1408 ms
79 fail, cost: 750 ms
80 fail, cost: 927 ms
81 fail, cost: 1420 ms
82 fail, cost: 1082 ms
83 fail, cost: 1093 ms
84 fail, cost: 833 ms
85 fail, cost: 1433 ms
86 fail, cost: 829 ms
87 fail, cost: 933 ms
88 fail, cost: 886 ms
89 fail, cost: 1413 ms
90 fail, cost: 892 ms
91 fail, cost: 638 ms
92 fail, cost: 1127 ms
93 fail, cost: 513 ms
94 fail, cost: 604 ms
95 fail, cost: 528 ms
96 fail, cost: 969 ms
97 fail, cost: 1344 ms
98 fail, cost: 953 ms
99 fail, cost: 799 ms
100 fail, cost: 1589 ms
101 fail, cost: 1079 ms
102 fail, cost: 921 ms
103 fail, cost: 824 ms
104 fail, cost: 1812 ms
105 fail, cost: 967 ms
106 fail, cost: 967 ms
107 fail, cost: 1365 ms
108 fail, cost: 918 ms
109 fail, cost: 830 ms
110 fail, cost: 771 ms
111 fail, cost: 1207 ms
112 fail, cost: 687 ms
113 fail, cost: 580 ms
114 fail, cost: 892 ms
115 fail, cost: 1202 ms
116 fail, cost: 707 ms
117 fail, cost: 675 ms
118 fail, cost: 634 ms
119 fail, cost: 1156 ms
