0 fail, cost: 397 ms
1 fail, cost: 330 ms
2 fail, cost: 238 ms
3 fail, cost: 256 ms
4 fail, cost: 538 ms
5 fail, cost: 1159 ms
6 fail, cost: 616 ms
7 fail, cost: 384 ms
8 fail, cost: 426 ms
9 fail, cost: 432 ms
10 fail, cost: 493 ms
11 fail, cost: 376 ms
12 fail, cost: 424 ms
13 fail, cost: 408 ms
14 fail, cost: 983 ms
15 fail, cost: 363 ms
16 fail, cost: 451 ms
17 fail, cost: 430 ms
18 fail, cost: 328 ms
19 fail, cost: 428 ms
20 fail, cost: 455 ms
21 fail, cost: 1134 ms
22 fail, cost: 454 ms
23 fail, cost: 455 ms
24 fail, cost: 469 ms
25 fail, cost: 373 ms
26 fail, cost: 346 ms
27 fail, cost: 348 ms
28 fail, cost: 345 ms
29 fail, cost: 333 ms
30 fail, cost: 997 ms
31 fail, cost: 383 ms
32 fail, cost: 380 ms
33 fail, cost: 388 ms
34 fail, cost: 259 ms
35 fail, cost: 270 ms
36 fail, cost: 353 ms
37 fail, cost: 303 ms
38 fail, cost: 277 ms
39 fail, cost: 911 ms
40 fail, cost: 391 ms
41 fail, cost: 376 ms
42 fail, cost: 362 ms
43 fail, cost: 319 ms
44 fail, cost: 386 ms
45 fail, cost: 339 ms
46 fail, cost: 257 ms
47 fail, cost: 260 ms
48 fail, cost: 999 ms
49 fail, cost: 315 ms
50 fail, cost: 339 ms
51 fail, cost: 348 ms
52 fail, cost: 372 ms
53 fail, cost: 397 ms
54 fail, cost: 342 ms
55 fail, cost: 292 ms
56 fail, cost: 1098 ms
57 fail, cost: 353 ms
58 fail, cost: 271 ms
59 fail, cost: 295 ms
60 fail, cost: 334 ms
61 fail, cost: 273 ms
62 fail, cost: 286 ms
63 fail, cost: 255 ms
64 fail, cost: 659 ms
65 fail, cost: 1536 ms
66 fail, cost: 570 ms
67 fail, cost: 598 ms
68 fail, cost: 479 ms
69 fail, cost: 401 ms
70 fail, cost: 1132 ms
71 fail, cost: 471 ms
72 fail, cost: 359 ms
73 fail, cost: 391 ms
74 fail, cost: 353 ms
