0 fail, cost: 401 ms
1 fail, cost: 512 ms
2 fail, cost: 534 ms
3 fail, cost: 744 ms
4 fail, cost: 1124 ms
5 fail, cost: 635 ms
6 fail, cost: 568 ms
7 fail, cost: 487 ms
8 fail, cost: 804 ms
9 fail, cost: 1231 ms
10 fail, cost: 761 ms
11 fail, cost: 657 ms
12 fail, cost: 715 ms
13 fail, cost: 581 ms
14 fail, cost: 1272 ms
15 fail, cost: 647 ms
16 fail, cost: 767 ms
17 fail, cost: 631 ms
18 fail, cost: 1415 ms
19 fail, cost: 872 ms
20 fail, cost: 756 ms
21 fail, cost: 543 ms
22 fail, cost: 627 ms
23 fail, cost: 1331 ms
24 fail, cost: 742 ms
25 fail, cost: 760 ms
26 fail, cost: 616 ms
27 fail, cost: 484 ms
28 fail, cost: 1203 ms
29 fail, cost: 479 ms
30 fail, cost: 630 ms
31 fail, cost: 549 ms
32 fail, cost: 781 ms
33 fail, cost: 1532 ms
34 fail, cost: 690 ms
35 fail, cost: 605 ms
36 fail, cost: 667 ms
37 fail, cost: 1387 ms
38 fail, cost: 580 ms
39 fail, cost: 676 ms
40 fail, cost: 616 ms
41 fail, cost: 643 ms
42 fail, cost: 1254 ms
43 fail, cost: 497 ms
44 fail, cost: 632 ms
45 fail, cost: 542 ms
46 fail, cost: 1402 ms
47 fail, cost: 664 ms
48 fail, cost: 719 ms
49 fail, cost: 692 ms
50 fail, cost: 702 ms
51 fail, cost: 1304 ms
52 fail, cost: 587 ms
53 fail, cost: 572 ms
54 fail, cost: 601 ms
55 fail, cost: 624 ms
56 fail, cost: 1237 ms
57 fail, cost: 790 ms
58 fail, cost: 753 ms
59 fail, cost: 664 ms
60 fail, cost: 642 ms
61 fail, cost: 1271 ms
62 fail, cost: 541 ms
63 fail, cost: 492 ms
64 fail, cost: 739 ms
65 fail, cost: 622 ms
66 fail, cost: 1241 ms
67 fail, cost: 682 ms
68 fail, cost: 714 ms
69 fail, cost: 664 ms
70 fail, cost: 1403 ms
71 fail, cost: 634 ms
72 fail, cost: 773 ms
73 fail, cost: 540 ms
