0 fail, cost: 434 ms
1 fail, cost: 362 ms
2 fail, cost: 502 ms
3 fail, cost: 409 ms
4 fail, cost: 436 ms
0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
5 success, cost: 965 ms
6 fail, cost: 481 ms
7 fail, cost: 447 ms
8 fail, cost: 689 ms
9 fail, cost: 681 ms
10 fail, cost: 1189 ms
11 fail, cost: 510 ms
12 fail, cost: 704 ms
13 fail, cost: 397 ms
14 fail, cost: 682 ms
15 fail, cost: 417 ms
16 fail, cost: 1412 ms
17 fail, cost: 632 ms
18 fail, cost: 701 ms
19 fail, cost: 506 ms
20 fail, cost: 728 ms
21 fail, cost: 1310 ms
22 fail, cost: 679 ms
23 fail, cost: 558 ms
24 fail, cost: 732 ms
25 fail, cost: 513 ms
26 fail, cost: 1275 ms
27 fail, cost: 606 ms
28 fail, cost: 425 ms
29 fail, cost: 367 ms
30 fail, cost: 412 ms
31 fail, cost: 332 ms
32 fail, cost: 1359 ms
33 fail, cost: 523 ms
34 fail, cost: 812 ms
35 fail, cost: 536 ms
36 fail, cost: 764 ms
37 fail, cost: 1249 ms
38 fail, cost: 716 ms
39 fail, cost: 456 ms
40 fail, cost: 582 ms
41 fail, cost: 535 ms
42 fail, cost: 1090 ms
43 fail, cost: 556 ms
44 fail, cost: 580 ms
45 fail, cost: 412 ms
46 fail, cost: 379 ms
47 fail, cost: 300 ms
48 fail, cost: 830 ms
49 fail, cost: 1185 ms
50 fail, cost: 674 ms
51 fail, cost: 656 ms
52 fail, cost: 582 ms
53 fail, cost: 1213 ms
54 fail, cost: 735 ms
55 fail, cost: 582 ms
56 fail, cost: 813 ms
57 fail, cost: 684 ms
58 fail, cost: 1212 ms
59 fail, cost: 486 ms
60 fail, cost: 399 ms
61 fail, cost: 455 ms
62 fail, cost: 345 ms
63 fail, cost: 342 ms
64 fail, cost: 655 ms
65 fail, cost: 1089 ms
66 fail, cost: 595 ms
67 fail, cost: 527 ms
68 fail, cost: 767 ms
69 fail, cost: 661 ms
70 fail, cost: 1220 ms
71 fail, cost: 472 ms
72 fail, cost: 510 ms
73 fail, cost: 496 ms
74 fail, cost: 446 ms
75 fail, cost: 350 ms
76 fail, cost: 362 ms
77 fail, cost: 919 ms
78 fail, cost: 346 ms
79 fail, cost: 359 ms
80 fail, cost: 651 ms
81 fail, cost: 511 ms
82 fail, cost: 629 ms
83 fail, cost: 1189 ms
84 fail, cost: 652 ms
85 fail, cost: 638 ms
86 fail, cost: 577 ms
87 fail, cost: 600 ms
88 fail, cost: 996 ms
89 fail, cost: 365 ms
90 fail, cost: 577 ms
91 fail, cost: 531 ms
92 fail, cost: 472 ms
93 fail, cost: 413 ms
94 fail, cost: 399 ms
95 fail, cost: 918 ms
96 fail, cost: 771 ms
97 fail, cost: 574 ms
98 fail, cost: 625 ms
99 fail, cost: 438 ms
100 fail, cost: 1281 ms
101 fail, cost: 513 ms
102 fail, cost: 663 ms
103 fail, cost: 514 ms
104 fail, cost: 604 ms
1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
105 success, cost: 391 ms
106 fail, cost: 1049 ms
107 fail, cost: 457 ms
108 fail, cost: 489 ms
109 fail, cost: 377 ms
110 fail, cost: 399 ms
111 fail, cost: 460 ms
112 fail, cost: 668 ms
113 fail, cost: 1157 ms
