0 fail, cost: 475 ms
1 fail, cost: 403 ms
2 fail, cost: 492 ms
3 fail, cost: 681 ms
4 fail, cost: 1426 ms
5 fail, cost: 620 ms
6 fail, cost: 539 ms
7 fail, cost: 628 ms
8 fail, cost: 1287 ms
9 fail, cost: 881 ms
10 fail, cost: 715 ms
11 fail, cost: 745 ms
12 fail, cost: 1520 ms
13 fail, cost: 610 ms
14 fail, cost: 748 ms
15 fail, cost: 710 ms
16 fail, cost: 1454 ms
17 fail, cost: 542 ms
18 fail, cost: 731 ms
19 fail, cost: 540 ms
20 fail, cost: 644 ms
21 fail, cost: 1173 ms
22 fail, cost: 697 ms
23 fail, cost: 637 ms
24 fail, cost: 752 ms
25 fail, cost: 584 ms
26 fail, cost: 1146 ms
27 fail, cost: 478 ms
28 fail, cost: 722 ms
29 fail, cost: 761 ms
30 fail, cost: 719 ms
31 fail, cost: 1353 ms
32 fail, cost: 528 ms
33 fail, cost: 529 ms
34 fail, cost: 474 ms
35 fail, cost: 521 ms
36 fail, cost: 1346 ms
37 fail, cost: 563 ms
38 fail, cost: 852 ms
39 fail, cost: 599 ms
40 fail, cost: 1393 ms
41 fail, cost: 532 ms
42 fail, cost: 433 ms
43 fail, cost: 426 ms
44 fail, cost: 537 ms
45 fail, cost: 686 ms
46 fail, cost: 1721 ms
47 fail, cost: 524 ms
48 fail, cost: 682 ms
49 fail, cost: 504 ms
50 fail, cost: 523 ms
51 fail, cost: 990 ms
52 fail, cost: 420 ms
53 fail, cost: 393 ms
54 fail, cost: 363 ms
55 fail, cost: 423 ms
56 fail, cost: 412 ms
57 fail, cost: 412 ms
58 fail, cost: 388 ms
59 fail, cost: 1036 ms
60 fail, cost: 623 ms
61 fail, cost: 435 ms
62 fail, cost: 423 ms
63 fail, cost: 447 ms
64 fail, cost: 703 ms
65 fail, cost: 1366 ms
66 fail, cost: 592 ms
67 fail, cost: 614 ms
68 fail, cost: 596 ms
69 fail, cost: 1212 ms
70 fail, cost: 567 ms
71 fail, cost: 615 ms
72 fail, cost: 587 ms
73 fail, cost: 572 ms
74 fail, cost: 1218 ms
75 fail, cost: 658 ms
76 fail, cost: 629 ms
77 fail, cost: 580 ms
78 fail, cost: 606 ms
79 fail, cost: 1225 ms
80 fail, cost: 734 ms
81 fail, cost: 693 ms
82 fail, cost: 734 ms
83 fail, cost: 589 ms
84 fail, cost: 1316 ms
85 fail, cost: 786 ms
86 fail, cost: 828 ms
87 fail, cost: 1307 ms
88 fail, cost: 970 ms
89 fail, cost: 655 ms
90 fail, cost: 913 ms
91 fail, cost: 1451 ms
92 fail, cost: 595 ms
93 fail, cost: 597 ms
94 fail, cost: 595 ms
95 fail, cost: 862 ms
96 fail, cost: 1497 ms
97 fail, cost: 552 ms
98 fail, cost: 696 ms
99 fail, cost: 440 ms
100 fail, cost: 566 ms
101 fail, cost: 469 ms
102 fail, cost: 1071 ms
103 fail, cost: 387 ms
104 fail, cost: 565 ms
105 fail, cost: 451 ms
106 fail, cost: 457 ms
107 fail, cost: 450 ms
108 fail, cost: 1074 ms
109 fail, cost: 380 ms
110 fail, cost: 432 ms
111 fail, cost: 381 ms
112 fail, cost: 446 ms
113 fail, cost: 507 ms
114 fail, cost: 434 ms
115 fail, cost: 1075 ms
116 fail, cost: 545 ms
117 fail, cost: 596 ms
118 fail, cost: 598 ms
119 fail, cost: 553 ms
120 fail, cost: 465 ms
121 fail, cost: 1173 ms
122 fail, cost: 437 ms
123 fail, cost: 439 ms
124 fail, cost: 646 ms
125 fail, cost: 612 ms
126 fail, cost: 404 ms
127 fail, cost: 1082 ms
128 fail, cost: 554 ms
129 fail, cost: 553 ms
130 fail, cost: 594 ms
131 fail, cost: 557 ms
132 fail, cost: 1478 ms
