0 fail, cost: 752 ms
1 fail, cost: 504 ms
2 fail, cost: 590 ms
3 fail, cost: 1322 ms
4 fail, cost: 843 ms
5 fail, cost: 623 ms
6 fail, cost: 829 ms
7 fail, cost: 1376 ms
8 fail, cost: 842 ms
9 fail, cost: 636 ms
10 fail, cost: 848 ms
11 fail, cost: 560 ms
12 fail, cost: 1363 ms
13 fail, cost: 734 ms
14 fail, cost: 855 ms
15 fail, cost: 1267 ms
16 fail, cost: 932 ms
17 fail, cost: 572 ms
18 fail, cost: 631 ms
19 fail, cost: 540 ms
20 fail, cost: 1431 ms
21 fail, cost: 824 ms
22 fail, cost: 1142 ms
23 fail, cost: 1385 ms
24 fail, cost: 1075 ms
25 fail, cost: 833 ms
26 fail, cost: 1028 ms
27 fail, cost: 1580 ms
28 fail, cost: 631 ms
29 fail, cost: 633 ms
30 fail, cost: 738 ms
31 fail, cost: 1319 ms
32 fail, cost: 650 ms
33 fail, cost: 811 ms
34 fail, cost: 624 ms
35 fail, cost: 1121 ms
36 fail, cost: 610 ms
37 fail, cost: 463 ms
38 fail, cost: 614 ms
39 fail, cost: 471 ms
40 fail, cost: 1348 ms
41 fail, cost: 740 ms
42 fail, cost: 571 ms
43 fail, cost: 641 ms
44 fail, cost: 707 ms
45 fail, cost: 1211 ms
46 fail, cost: 748 ms
47 fail, cost: 724 ms
48 fail, cost: 572 ms
49 fail, cost: 518 ms
50 fail, cost: 1283 ms
51 fail, cost: 774 ms
52 fail, cost: 923 ms
53 fail, cost: 607 ms
54 fail, cost: 1346 ms
55 fail, cost: 685 ms
56 fail, cost: 986 ms
57 fail, cost: 634 ms
58 fail, cost: 1170 ms
59 fail, cost: 540 ms
60 fail, cost: 609 ms
61 fail, cost: 541 ms
62 fail, cost: 636 ms
63 fail, cost: 1061 ms
64 fail, cost: 780 ms
65 fail, cost: 688 ms
66 fail, cost: 820 ms
67 fail, cost: 1429 ms
68 fail, cost: 763 ms
69 fail, cost: 587 ms
70 fail, cost: 794 ms
71 fail, cost: 657 ms
72 fail, cost: 1300 ms
73 fail, cost: 907 ms
74 fail, cost: 631 ms
75 fail, cost: 502 ms
76 fail, cost: 1221 ms
77 fail, cost: 526 ms
78 fail, cost: 467 ms
79 fail, cost: 827 ms
80 fail, cost: 760 ms
81 fail, cost: 1652 ms
82 fail, cost: 990 ms
83 fail, cost: 654 ms
84 fail, cost: 1508 ms
85 fail, cost: 824 ms
86 fail, cost: 745 ms
87 fail, cost: 638 ms
88 fail, cost: 1452 ms
89 fail, cost: 749 ms
90 fail, cost: 671 ms
91 fail, cost: 679 ms
92 fail, cost: 1256 ms
93 fail, cost: 581 ms
94 fail, cost: 700 ms
95 fail, cost: 679 ms
96 fail, cost: 629 ms
97 fail, cost: 1178 ms
98 fail, cost: 542 ms
99 fail, cost: 586 ms
100 fail, cost: 550 ms
101 fail, cost: 596 ms
102 fail, cost: 1227 ms
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 
103 success, cost: 486 ms
104 fail, cost: 673 ms
105 fail, cost: 657 ms
106 fail, cost: 956 ms
107 fail, cost: 1253 ms
108 fail, cost: 740 ms
109 fail, cost: 685 ms
110 fail, cost: 661 ms
111 fail, cost: 530 ms
112 fail, cost: 1333 ms
113 fail, cost: 622 ms
114 fail, cost: 545 ms
115 fail, cost: 500 ms
116 fail, cost: 1158 ms
117 fail, cost: 519 ms
118 fail, cost: 479 ms
119 fail, cost: 454 ms
120 fail, cost: 822 ms
121 fail, cost: 1264 ms
122 fail, cost: 800 ms
123 fail, cost: 695 ms
124 fail, cost: 984 ms
125 fail, cost: 727 ms
126 fail, cost: 1470 ms
127 fail, cost: 573 ms
128 fail, cost: 905 ms
129 fail, cost: 947 ms
130 fail, cost: 1366 ms
131 fail, cost: 680 ms
132 fail, cost: 829 ms
133 fail, cost: 550 ms
134 fail, cost: 1306 ms
135 fail, cost: 499 ms
136 fail, cost: 830 ms
0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
137 success, cost: 190 ms
138 fail, cost: 720 ms
139 fail, cost: 1295 ms
140 fail, cost: 952 ms
141 fail, cost: 688 ms
142 fail, cost: 763 ms
143 fail, cost: 1312 ms
144 fail, cost: 781 ms
145 fail, cost: 625 ms
146 fail, cost: 1251 ms
147 fail, cost: 1384 ms
148 fail, cost: 938 ms
149 fail, cost: 797 ms
150 fail, cost: 914 ms
151 fail, cost: 1312 ms
152 fail, cost: 924 ms
153 fail, cost: 795 ms
154 fail, cost: 962 ms
155 fail, cost: 1419 ms
156 fail, cost: 993 ms
157 fail, cost: 977 ms
158 fail, cost: 1605 ms
159 fail, cost: 677 ms
160 fail, cost: 646 ms
161 fail, cost: 599 ms
162 fail, cost: 578 ms
163 fail, cost: 1180 ms
164 fail, cost: 644 ms
165 fail, cost: 626 ms
166 fail, cost: 616 ms
167 fail, cost: 594 ms
168 fail, cost: 1326 ms
169 fail, cost: 609 ms
170 fail, cost: 586 ms
171 fail, cost: 593 ms
172 fail, cost: 653 ms
173 fail, cost: 1228 ms
174 fail, cost: 726 ms
175 fail, cost: 612 ms
176 fail, cost: 802 ms
177 fail, cost: 565 ms
178 fail, cost: 1478 ms
179 fail, cost: 653 ms
180 fail, cost: 829 ms
181 fail, cost: 549 ms
182 fail, cost: 1303 ms
183 fail, cost: 719 ms
