0 fail, cost: 518 ms
1 fail, cost: 362 ms
2 fail, cost: 446 ms
3 fail, cost: 524 ms
4 fail, cost: 1170 ms
5 fail, cost: 481 ms
0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 
6 success, cost: 223 ms
7 fail, cost: 480 ms
8 fail, cost: 553 ms
9 fail, cost: 570 ms
10 fail, cost: 1086 ms
11 fail, cost: 485 ms
12 fail, cost: 551 ms
13 fail, cost: 671 ms
14 fail, cost: 453 ms
15 fail, cost: 1182 ms
16 fail, cost: 576 ms
17 fail, cost: 642 ms
18 fail, cost: 560 ms
19 fail, cost: 498 ms
20 fail, cost: 1284 ms
21 fail, cost: 640 ms
22 fail, cost: 587 ms
23 fail, cost: 442 ms
24 fail, cost: 485 ms
25 fail, cost: 1223 ms
26 fail, cost: 705 ms
27 fail, cost: 826 ms
28 fail, cost: 538 ms
29 fail, cost: 1073 ms
30 fail, cost: 490 ms
31 fail, cost: 534 ms
32 fail, cost: 431 ms
33 fail, cost: 427 ms
34 fail, cost: 374 ms
35 fail, cost: 1113 ms
36 fail, cost: 428 ms
37 fail, cost: 347 ms
38 fail, cost: 342 ms
39 fail, cost: 266 ms
40 fail, cost: 504 ms
41 fail, cost: 417 ms
42 fail, cost: 1045 ms
43 fail, cost: 370 ms
44 fail, cost: 418 ms
45 fail, cost: 429 ms
46 fail, cost: 376 ms
47 fail, cost: 359 ms
48 fail, cost: 515 ms
49 fail, cost: 1080 ms
50 fail, cost: 348 ms
51 fail, cost: 299 ms
52 fail, cost: 405 ms
53 fail, cost: 352 ms
54 fail, cost: 343 ms
55 fail, cost: 326 ms
56 fail, cost: 1078 ms
57 fail, cost: 434 ms
58 fail, cost: 330 ms
59 fail, cost: 306 ms
60 fail, cost: 418 ms
61 fail, cost: 453 ms
62 fail, cost: 443 ms
63 fail, cost: 934 ms
64 fail, cost: 501 ms
65 fail, cost: 650 ms
66 fail, cost: 835 ms
67 fail, cost: 510 ms
68 fail, cost: 1277 ms
69 fail, cost: 663 ms
70 fail, cost: 623 ms
71 fail, cost: 540 ms
72 fail, cost: 1402 ms
73 fail, cost: 630 ms
74 fail, cost: 671 ms
75 fail, cost: 769 ms
76 fail, cost: 697 ms
77 fail, cost: 1231 ms
78 fail, cost: 876 ms
79 fail, cost: 449 ms
80 fail, cost: 861 ms
81 fail, cost: 1363 ms
82 fail, cost: 823 ms
83 fail, cost: 976 ms
84 fail, cost: 729 ms
