0 fail, cost: 376 ms
1 fail, cost: 417 ms
2 fail, cost: 425 ms
3 fail, cost: 512 ms
4 fail, cost: 1257 ms
5 fail, cost: 780 ms
6 fail, cost: 721 ms
7 fail, cost: 806 ms
8 fail, cost: 1412 ms
9 fail, cost: 810 ms
10 fail, cost: 774 ms
11 fail, cost: 721 ms
12 fail, cost: 676 ms
13 fail, cost: 1236 ms
14 fail, cost: 1089 ms
15 fail, cost: 790 ms
16 fail, cost: 1042 ms
17 fail, cost: 1541 ms
18 fail, cost: 634 ms
19 fail, cost: 621 ms
20 fail, cost: 603 ms
21 fail, cost: 1315 ms
22 fail, cost: 791 ms
23 fail, cost: 813 ms
24 fail, cost: 843 ms
25 fail, cost: 639 ms
26 fail, cost: 1305 ms
27 fail, cost: 712 ms
28 fail, cost: 667 ms
29 fail, cost: 1289 ms
30 fail, cost: 1691 ms
31 fail, cost: 672 ms
32 fail, cost: 670 ms
33 fail, cost: 745 ms
34 fail, cost: 1468 ms
35 fail, cost: 784 ms
36 fail, cost: 660 ms
37 fail, cost: 739 ms
38 fail, cost: 1344 ms
39 fail, cost: 564 ms
40 fail, cost: 708 ms
41 fail, cost: 631 ms
42 fail, cost: 755 ms
43 fail, cost: 1315 ms
44 fail, cost: 802 ms
45 fail, cost: 739 ms
46 fail, cost: 897 ms
47 fail, cost: 1152 ms
48 fail, cost: 689 ms
49 fail, cost: 671 ms
50 fail, cost: 982 ms
51 fail, cost: 1585 ms
52 fail, cost: 958 ms
53 fail, cost: 945 ms
54 fail, cost: 1748 ms
55 fail, cost: 857 ms
56 fail, cost: 780 ms
57 fail, cost: 586 ms
58 fail, cost: 1165 ms
59 fail, cost: 476 ms
60 fail, cost: 640 ms
61 fail, cost: 620 ms
62 fail, cost: 467 ms
63 fail, cost: 508 ms
64 fail, cost: 1542 ms
65 fail, cost: 989 ms
66 fail, cost: 559 ms
67 fail, cost: 675 ms
68 fail, cost: 1720 ms
69 fail, cost: 650 ms
70 fail, cost: 891 ms
71 fail, cost: 1185 ms
72 fail, cost: 708 ms
73 fail, cost: 694 ms
74 fail, cost: 649 ms
75 fail, cost: 658 ms
76 fail, cost: 1320 ms
77 fail, cost: 653 ms
78 fail, cost: 675 ms
79 fail, cost: 796 ms
80 fail, cost: 1482 ms
81 fail, cost: 586 ms
82 fail, cost: 1009 ms
83 fail, cost: 953 ms
84 fail, cost: 1490 ms
85 fail, cost: 1053 ms
86 fail, cost: 662 ms
87 fail, cost: 591 ms
88 fail, cost: 1282 ms
89 fail, cost: 635 ms
90 fail, cost: 749 ms
91 fail, cost: 634 ms
92 fail, cost: 727 ms
93 fail, cost: 1206 ms
94 fail, cost: 643 ms
95 fail, cost: 641 ms
96 fail, cost: 875 ms
97 fail, cost: 1374 ms
98 fail, cost: 709 ms
99 fail, cost: 682 ms
100 fail, cost: 669 ms
101 fail, cost: 716 ms
102 fail, cost: 1421 ms
103 fail, cost: 798 ms
104 fail, cost: 691 ms
105 fail, cost: 784 ms
106 fail, cost: 1213 ms
107 fail, cost: 467 ms
108 fail, cost: 600 ms
109 fail, cost: 549 ms
110 fail, cost: 511 ms
111 fail, cost: 1018 ms
112 fail, cost: 733 ms
113 fail, cost: 682 ms
114 fail, cost: 582 ms
115 fail, cost: 533 ms
116 fail, cost: 1352 ms
117 fail, cost: 614 ms
118 fail, cost: 664 ms
119 fail, cost: 855 ms
120 fail, cost: 1346 ms
121 fail, cost: 787 ms
122 fail, cost: 722 ms
123 fail, cost: 688 ms
124 fail, cost: 741 ms
125 fail, cost: 1417 ms
126 fail, cost: 646 ms
127 fail, cost: 760 ms
128 fail, cost: 910 ms
129 fail, cost: 1377 ms
130 fail, cost: 869 ms
131 fail, cost: 690 ms
132 fail, cost: 658 ms
133 fail, cost: 1157 ms
134 fail, cost: 616 ms
135 fail, cost: 708 ms
136 fail, cost: 709 ms
137 fail, cost: 667 ms
138 fail, cost: 1427 ms
139 fail, cost: 663 ms
140 fail, cost: 693 ms
141 fail, cost: 688 ms
142 fail, cost: 661 ms
143 fail, cost: 1144 ms
144 fail, cost: 708 ms
145 fail, cost: 621 ms
146 fail, cost: 729 ms
147 fail, cost: 761 ms
148 fail, cost: 1522 ms
149 fail, cost: 1003 ms
150 fail, cost: 725 ms
151 fail, cost: 1515 ms
152 fail, cost: 664 ms
153 fail, cost: 685 ms
154 fail, cost: 819 ms
155 fail, cost: 686 ms
156 fail, cost: 1311 ms
157 fail, cost: 616 ms
158 fail, cost: 815 ms
159 fail, cost: 788 ms
160 fail, cost: 1224 ms
161 fail, cost: 664 ms
162 fail, cost: 674 ms
163 fail, cost: 604 ms
164 fail, cost: 854 ms
165 fail, cost: 1333 ms
166 fail, cost: 715 ms
167 fail, cost: 587 ms
168 fail, cost: 615 ms
169 fail, cost: 1137 ms
170 fail, cost: 578 ms
171 fail, cost: 671 ms
172 fail, cost: 617 ms
173 fail, cost: 552 ms
174 fail, cost: 1304 ms
175 fail, cost: 532 ms
176 fail, cost: 661 ms
177 fail, cost: 666 ms
178 fail, cost: 640 ms
179 fail, cost: 1597 ms
180 fail, cost: 1147 ms
181 fail, cost: 953 ms
182 fail, cost: 1493 ms
183 fail, cost: 807 ms
184 fail, cost: 867 ms
185 fail, cost: 1106 ms
186 fail, cost: 1420 ms
187 fail, cost: 609 ms
188 fail, cost: 749 ms
189 fail, cost: 844 ms
190 fail, cost: 753 ms
191 fail, cost: 1388 ms
192 fail, cost: 832 ms
193 fail, cost: 808 ms
194 fail, cost: 594 ms
195 fail, cost: 1513 ms
196 fail, cost: 914 ms
197 fail, cost: 813 ms
198 fail, cost: 613 ms
199 fail, cost: 1227 ms
200 fail, cost: 720 ms
201 fail, cost: 835 ms
202 fail, cost: 975 ms
203 fail, cost: 1457 ms
204 fail, cost: 1005 ms
205 fail, cost: 674 ms
206 fail, cost: 1561 ms
207 fail, cost: 516 ms
208 fail, cost: 702 ms
209 fail, cost: 579 ms
210 fail, cost: 632 ms
211 fail, cost: 1244 ms
212 fail, cost: 550 ms
213 fail, cost: 524 ms
214 fail, cost: 607 ms
215 fail, cost: 650 ms
216 fail, cost: 1956 ms
217 fail, cost: 925 ms
218 fail, cost: 783 ms
219 fail, cost: 1224 ms
220 fail, cost: 823 ms
221 fail, cost: 711 ms
222 fail, cost: 699 ms
223 fail, cost: 793 ms
224 fail, cost: 1583 ms
225 fail, cost: 1000 ms
226 fail, cost: 940 ms
227 fail, cost: 1338 ms
228 fail, cost: 838 ms
229 fail, cost: 768 ms
230 fail, cost: 1060 ms
231 fail, cost: 1404 ms
232 fail, cost: 848 ms
233 fail, cost: 680 ms
234 fail, cost: 542 ms
235 fail, cost: 859 ms
236 fail, cost: 1111 ms
237 fail, cost: 619 ms
238 fail, cost: 527 ms
239 fail, cost: 560 ms
240 fail, cost: 610 ms
241 fail, cost: 1146 ms
242 fail, cost: 601 ms
243 fail, cost: 647 ms
244 fail, cost: 630 ms
245 fail, cost: 1131 ms
246 fail, cost: 648 ms
247 fail, cost: 668 ms
248 fail, cost: 742 ms
249 fail, cost: 586 ms
250 fail, cost: 1118 ms
251 fail, cost: 430 ms
252 fail, cost: 575 ms
253 fail, cost: 481 ms
254 fail, cost: 494 ms
255 fail, cost: 336 ms
