0 fail, cost: 763 ms
1 fail, cost: 559 ms
2 fail, cost: 760 ms
3 fail, cost: 1282 ms
4 fail, cost: 769 ms
5 fail, cost: 619 ms
6 fail, cost: 903 ms
7 fail, cost: 1575 ms
8 fail, cost: 1262 ms
9 fail, cost: 902 ms
10 fail, cost: 1630 ms
11 fail, cost: 731 ms
12 fail, cost: 800 ms
13 fail, cost: 621 ms
14 fail, cost: 1341 ms
15 fail, cost: 698 ms
16 fail, cost: 652 ms
17 fail, cost: 658 ms
18 fail, cost: 1442 ms
19 fail, cost: 612 ms
20 fail, cost: 858 ms
21 fail, cost: 667 ms
22 fail, cost: 578 ms
23 fail, cost: 1389 ms
24 fail, cost: 694 ms
25 fail, cost: 690 ms
26 fail, cost: 735 ms
27 fail, cost: 1201 ms
28 fail, cost: 628 ms
29 fail, cost: 482 ms
30 fail, cost: 555 ms
31 fail, cost: 401 ms
32 fail, cost: 1657 ms
33 fail, cost: 684 ms
34 fail, cost: 1016 ms
35 fail, cost: 678 ms
36 fail, cost: 1363 ms
37 fail, cost: 546 ms
38 fail, cost: 621 ms
39 fail, cost: 575 ms
40 fail, cost: 653 ms
41 fail, cost: 1330 ms
42 fail, cost: 722 ms
43 fail, cost: 709 ms
44 fail, cost: 1009 ms
45 fail, cost: 1202 ms
46 fail, cost: 609 ms
47 fail, cost: 656 ms
48 fail, cost: 838 ms
49 fail, cost: 445 ms
50 fail, cost: 1209 ms
51 fail, cost: 544 ms
52 fail, cost: 961 ms
53 fail, cost: 564 ms
54 fail, cost: 1515 ms
55 fail, cost: 789 ms
56 fail, cost: 910 ms
57 fail, cost: 442 ms
58 fail, cost: 641 ms
59 fail, cost: 970 ms
60 fail, cost: 613 ms
61 fail, cost: 470 ms
62 fail, cost: 522 ms
63 fail, cost: 347 ms
64 fail, cost: 770 ms
65 fail, cost: 1255 ms
66 fail, cost: 708 ms
67 fail, cost: 725 ms
68 fail, cost: 945 ms
69 fail, cost: 1521 ms
70 fail, cost: 718 ms
71 fail, cost: 805 ms
72 fail, cost: 611 ms
73 fail, cost: 1206 ms
74 fail, cost: 649 ms
75 fail, cost: 623 ms
76 fail, cost: 886 ms
77 fail, cost: 1239 ms
78 fail, cost: 649 ms
79 fail, cost: 533 ms
80 fail, cost: 605 ms
81 fail, cost: 673 ms
82 fail, cost: 1270 ms
83 fail, cost: 568 ms
84 fail, cost: 637 ms
85 fail, cost: 605 ms
86 fail, cost: 683 ms
87 fail, cost: 1181 ms
88 fail, cost: 717 ms
89 fail, cost: 604 ms
90 fail, cost: 527 ms
91 fail, cost: 396 ms
92 fail, cost: 1223 ms
93 fail, cost: 382 ms
94 fail, cost: 533 ms
95 fail, cost: 374 ms
96 fail, cost: 649 ms
97 fail, cost: 584 ms
98 fail, cost: 1129 ms
99 fail, cost: 555 ms
100 fail, cost: 591 ms
101 fail, cost: 790 ms
102 fail, cost: 1380 ms
103 fail, cost: 956 ms
104 fail, cost: 723 ms
105 fail, cost: 749 ms
106 fail, cost: 1259 ms
107 fail, cost: 677 ms
108 fail, cost: 838 ms
109 fail, cost: 720 ms
110 fail, cost: 852 ms
111 fail, cost: 1314 ms
112 fail, cost: 634 ms
113 fail, cost: 619 ms
114 fail, cost: 654 ms
115 fail, cost: 488 ms
116 fail, cost: 1131 ms
117 fail, cost: 419 ms
118 fail, cost: 533 ms
119 fail, cost: 335 ms
120 fail, cost: 737 ms
121 fail, cost: 1048 ms
122 fail, cost: 497 ms
123 fail, cost: 374 ms
124 fail, cost: 576 ms
125 fail, cost: 344 ms
126 fail, cost: 725 ms
127 fail, cost: 1443 ms
128 fail, cost: 989 ms
129 fail, cost: 825 ms
130 fail, cost: 874 ms
131 fail, cost: 1447 ms
132 fail, cost: 800 ms
133 fail, cost: 1070 ms
134 fail, cost: 1482 ms
135 fail, cost: 910 ms
136 fail, cost: 888 ms
137 fail, cost: 651 ms
138 fail, cost: 1456 ms
139 fail, cost: 506 ms
140 fail, cost: 735 ms
141 fail, cost: 586 ms
142 fail, cost: 1236 ms
143 fail, cost: 606 ms
144 fail, cost: 576 ms
145 fail, cost: 680 ms
146 fail, cost: 619 ms
147 fail, cost: 1022 ms
148 fail, cost: 771 ms
149 fail, cost: 642 ms
150 fail, cost: 869 ms
151 fail, cost: 1120 ms
152 fail, cost: 799 ms
153 fail, cost: 497 ms
154 fail, cost: 682 ms
155 fail, cost: 481 ms
156 fail, cost: 1511 ms
157 fail, cost: 594 ms
158 fail, cost: 875 ms
159 fail, cost: 503 ms
160 fail, cost: 713 ms
161 fail, cost: 1165 ms
162 fail, cost: 892 ms
163 fail, cost: 1034 ms
164 fail, cost: 836 ms
165 fail, cost: 1299 ms
166 fail, cost: 726 ms
167 fail, cost: 645 ms
168 fail, cost: 719 ms
169 fail, cost: 1289 ms
170 fail, cost: 732 ms
171 fail, cost: 510 ms
172 fail, cost: 760 ms
173 fail, cost: 490 ms
174 fail, cost: 1163 ms
175 fail, cost: 510 ms
176 fail, cost: 534 ms
177 fail, cost: 472 ms
178 fail, cost: 511 ms
179 fail, cost: 381 ms
180 fail, cost: 1264 ms
181 fail, cost: 628 ms
182 fail, cost: 671 ms
183 fail, cost: 636 ms
184 fail, cost: 1342 ms
185 fail, cost: 605 ms
186 fail, cost: 717 ms
187 fail, cost: 525 ms
188 fail, cost: 878 ms
189 fail, cost: 1372 ms
190 fail, cost: 621 ms
191 fail, cost: 599 ms
192 fail, cost: 803 ms
193 fail, cost: 789 ms
194 fail, cost: 1411 ms
195 fail, cost: 778 ms
196 fail, cost: 764 ms
197 fail, cost: 710 ms
198 fail, cost: 1707 ms
199 fail, cost: 786 ms
200 fail, cost: 823 ms
201 fail, cost: 747 ms
202 fail, cost: 1702 ms
203 fail, cost: 725 ms
204 fail, cost: 753 ms
205 fail, cost: 608 ms
206 fail, cost: 1224 ms
207 fail, cost: 556 ms
208 fail, cost: 822 ms
209 fail, cost: 813 ms
210 fail, cost: 661 ms
211 fail, cost: 1277 ms
212 fail, cost: 713 ms
213 fail, cost: 668 ms
214 fail, cost: 876 ms
215 fail, cost: 1387 ms
216 fail, cost: 620 ms
217 fail, cost: 459 ms
218 fail, cost: 557 ms
219 fail, cost: 417 ms
220 fail, cost: 1109 ms
221 fail, cost: 462 ms
222 fail, cost: 571 ms
223 fail, cost: 496 ms
224 fail, cost: 666 ms
225 fail, cost: 1292 ms
226 fail, cost: 734 ms
227 fail, cost: 929 ms
228 fail, cost: 769 ms
229 fail, cost: 1415 ms
230 fail, cost: 703 ms
231 fail, cost: 624 ms
232 fail, cost: 831 ms
233 fail, cost: 686 ms
234 fail, cost: 1272 ms
235 fail, cost: 738 ms
236 fail, cost: 790 ms
237 fail, cost: 682 ms
238 fail, cost: 788 ms
239 fail, cost: 1319 ms
240 fail, cost: 735 ms
241 fail, cost: 552 ms
242 fail, cost: 648 ms
243 fail, cost: 1228 ms
244 fail, cost: 775 ms
245 fail, cost: 642 ms
246 fail, cost: 631 ms
247 fail, cost: 456 ms
248 fail, cost: 1261 ms
249 fail, cost: 367 ms
250 fail, cost: 432 ms
251 fail, cost: 432 ms
252 fail, cost: 518 ms
253 fail, cost: 340 ms
254 fail, cost: 412 ms
255 fail, cost: 885 ms
