0 fail, cost: 366 ms
1 fail, cost: 466 ms
2 fail, cost: 633 ms
3 fail, cost: 720 ms
4 fail, cost: 1410 ms
5 fail, cost: 958 ms
6 fail, cost: 822 ms
7 fail, cost: 1412 ms
8 fail, cost: 970 ms
9 fail, cost: 986 ms
10 fail, cost: 781 ms
11 fail, cost: 1404 ms
12 fail, cost: 995 ms
13 fail, cost: 766 ms
14 fail, cost: 1362 ms
15 fail, cost: 1007 ms
16 fail, cost: 881 ms
17 fail, cost: 598 ms
18 fail, cost: 1252 ms
19 fail, cost: 840 ms
20 fail, cost: 775 ms
21 fail, cost: 706 ms
22 fail, cost: 1261 ms
23 fail, cost: 657 ms
24 fail, cost: 887 ms
25 fail, cost: 874 ms
26 fail, cost: 1529 ms
27 fail, cost: 673 ms
28 fail, cost: 938 ms
29 fail, cost: 867 ms
30 fail, cost: 1637 ms
31 fail, cost: 1028 ms
32 fail, cost: 884 ms
33 fail, cost: 668 ms
34 fail, cost: 1276 ms
35 fail, cost: 568 ms
36 fail, cost: 686 ms
37 fail, cost: 652 ms
38 fail, cost: 1393 ms
39 fail, cost: 815 ms
40 fail, cost: 732 ms
41 fail, cost: 749 ms
42 fail, cost: 1306 ms
43 fail, cost: 655 ms
44 fail, cost: 719 ms
45 fail, cost: 916 ms
46 fail, cost: 1307 ms
47 fail, cost: 978 ms
48 fail, cost: 688 ms
49 fail, cost: 659 ms
50 fail, cost: 1388 ms
51 fail, cost: 928 ms
52 fail, cost: 809 ms
53 fail, cost: 495 ms
54 fail, cost: 1095 ms
55 fail, cost: 525 ms
56 fail, cost: 647 ms
57 fail, cost: 577 ms
58 fail, cost: 595 ms
59 fail, cost: 1776 ms
60 fail, cost: 832 ms
61 fail, cost: 858 ms
62 fail, cost: 1377 ms
63 fail, cost: 583 ms
64 fail, cost: 906 ms
65 fail, cost: 768 ms
66 fail, cost: 1147 ms
67 fail, cost: 540 ms
68 fail, cost: 775 ms
69 fail, cost: 602 ms
70 fail, cost: 1225 ms
71 fail, cost: 659 ms
72 fail, cost: 851 ms
73 fail, cost: 1062 ms
74 fail, cost: 1283 ms
75 fail, cost: 668 ms
76 fail, cost: 1087 ms
77 fail, cost: 799 ms
78 fail, cost: 1395 ms
79 fail, cost: 766 ms
80 fail, cost: 836 ms
81 fail, cost: 514 ms
82 fail, cost: 1212 ms
83 fail, cost: 506 ms
84 fail, cost: 868 ms
85 fail, cost: 924 ms
86 fail, cost: 1392 ms
87 fail, cost: 671 ms
88 fail, cost: 639 ms
89 fail, cost: 870 ms
90 fail, cost: 1380 ms
91 fail, cost: 821 ms
92 fail, cost: 1012 ms
93 fail, cost: 683 ms
94 fail, cost: 1683 ms
95 fail, cost: 933 ms
96 fail, cost: 928 ms
97 fail, cost: 1561 ms
98 fail, cost: 633 ms
99 fail, cost: 577 ms
100 fail, cost: 757 ms
101 fail, cost: 603 ms
102 fail, cost: 1241 ms
103 fail, cost: 612 ms
104 fail, cost: 688 ms
105 fail, cost: 627 ms
106 fail, cost: 1222 ms
107 fail, cost: 582 ms
108 fail, cost: 705 ms
109 fail, cost: 674 ms
1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
110 success, cost: 701 ms
111 fail, cost: 1568 ms
112 fail, cost: 961 ms
113 fail, cost: 615 ms
114 fail, cost: 618 ms
115 fail, cost: 1414 ms
116 fail, cost: 662 ms
117 fail, cost: 507 ms
118 fail, cost: 798 ms
119 fail, cost: 1396 ms
120 fail, cost: 1078 ms
121 fail, cost: 829 ms
122 fail, cost: 548 ms
123 fail, cost: 1049 ms
124 fail, cost: 555 ms
125 fail, cost: 405 ms
126 fail, cost: 447 ms
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
127 success, cost: 23 ms
128 fail, cost: 781 ms
129 fail, cost: 1330 ms
130 fail, cost: 871 ms
131 fail, cost: 734 ms
132 fail, cost: 814 ms
133 fail, cost: 1369 ms
134 fail, cost: 781 ms
135 fail, cost: 679 ms
136 fail, cost: 836 ms
137 fail, cost: 1510 ms
138 fail, cost: 1027 ms
139 fail, cost: 742 ms
140 fail, cost: 1802 ms
141 fail, cost: 1191 ms
142 fail, cost: 885 ms
143 fail, cost: 913 ms
144 fail, cost: 1707 ms
145 fail, cost: 851 ms
146 fail, cost: 1072 ms
147 fail, cost: 1562 ms
148 fail, cost: 778 ms
149 fail, cost: 589 ms
150 fail, cost: 669 ms
151 fail, cost: 562 ms
152 fail, cost: 1267 ms
153 fail, cost: 790 ms
154 fail, cost: 872 ms
155 fail, cost: 678 ms
156 fail, cost: 1258 ms
157 fail, cost: 688 ms
158 fail, cost: 710 ms
159 fail, cost: 497 ms
160 fail, cost: 1464 ms
161 fail, cost: 961 ms
162 fail, cost: 756 ms
163 fail, cost: 576 ms
164 fail, cost: 1397 ms
165 fail, cost: 1225 ms
166 fail, cost: 845 ms
167 fail, cost: 1321 ms
168 fail, cost: 899 ms
169 fail, cost: 814 ms
170 fail, cost: 874 ms
171 fail, cost: 1372 ms
172 fail, cost: 892 ms
173 fail, cost: 756 ms
174 fail, cost: 831 ms
175 fail, cost: 1357 ms
176 fail, cost: 1046 ms
177 fail, cost: 865 ms
178 fail, cost: 786 ms
179 fail, cost: 1361 ms
180 fail, cost: 683 ms
181 fail, cost: 441 ms
182 fail, cost: 516 ms
183 fail, cost: 424 ms
184 fail, cost: 1233 ms
185 fail, cost: 563 ms
186 fail, cost: 584 ms
187 fail, cost: 580 ms
188 fail, cost: 1124 ms
189 fail, cost: 512 ms
190 fail, cost: 549 ms
191 fail, cost: 388 ms
192 fail, cost: 628 ms
193 fail, cost: 1195 ms
194 fail, cost: 711 ms
195 fail, cost: 736 ms
196 fail, cost: 693 ms
197 fail, cost: 1214 ms
198 fail, cost: 668 ms
199 fail, cost: 648 ms
200 fail, cost: 759 ms
201 fail, cost: 1773 ms
202 fail, cost: 1003 ms
203 fail, cost: 744 ms
204 fail, cost: 911 ms
205 fail, cost: 1530 ms
206 fail, cost: 930 ms
207 fail, cost: 633 ms
208 fail, cost: 1378 ms
209 fail, cost: 992 ms
210 fail, cost: 739 ms
211 fail, cost: 862 ms
212 fail, cost: 1548 ms
213 fail, cost: 756 ms
214 fail, cost: 798 ms
215 fail, cost: 858 ms
216 fail, cost: 1676 ms
