0 fail, cost: 585 ms
1 fail, cost: 729 ms
2 fail, cost: 632 ms
3 fail, cost: 1262 ms
4 fail, cost: 721 ms
5 fail, cost: 490 ms
6 fail, cost: 464 ms
7 fail, cost: 448 ms
8 fail, cost: 1443 ms
9 fail, cost: 633 ms
10 fail, cost: 1038 ms
11 fail, cost: 592 ms
12 fail, cost: 1130 ms
13 fail, cost: 474 ms
14 fail, cost: 529 ms
15 fail, cost: 412 ms
16 fail, cost: 855 ms
17 fail, cost: 1447 ms
18 fail, cost: 1136 ms
19 fail, cost: 730 ms
20 fail, cost: 1431 ms
21 fail, cost: 461 ms
22 fail, cost: 515 ms
23 fail, cost: 504 ms
24 fail, cost: 930 ms
25 fail, cost: 1370 ms
26 fail, cost: 943 ms
27 fail, cost: 709 ms
28 fail, cost: 956 ms
29 fail, cost: 1224 ms
30 fail, cost: 355 ms
31 fail, cost: 344 ms
32 fail, cost: 824 ms
33 fail, cost: 788 ms
34 fail, cost: 1425 ms
35 fail, cost: 744 ms
36 fail, cost: 981 ms
37 fail, cost: 433 ms
38 fail, cost: 993 ms
39 fail, cost: 368 ms
40 fail, cost: 877 ms
41 fail, cost: 655 ms
42 fail, cost: 1612 ms
43 fail, cost: 726 ms
44 fail, cost: 870 ms
45 fail, cost: 500 ms
46 fail, cost: 522 ms
47 fail, cost: 994 ms
48 fail, cost: 773 ms
49 fail, cost: 654 ms
50 fail, cost: 610 ms
51 fail, cost: 621 ms
52 fail, cost: 1223 ms
53 fail, cost: 394 ms
54 fail, cost: 396 ms
55 fail, cost: 387 ms
56 fail, cost: 865 ms
57 fail, cost: 1617 ms
58 fail, cost: 742 ms
59 fail, cost: 904 ms
60 fail, cost: 653 ms
61 fail, cost: 1152 ms
62 fail, cost: 405 ms
63 fail, cost: 334 ms
64 fail, cost: 991 ms
65 fail, cost: 1184 ms
66 fail, cost: 1121 ms
67 fail, cost: 829 ms
68 fail, cost: 548 ms
69 fail, cost: 1163 ms
70 fail, cost: 767 ms
71 fail, cost: 428 ms
72 fail, cost: 1002 ms
73 fail, cost: 1318 ms
74 fail, cost: 922 ms
75 fail, cost: 544 ms
76 fail, cost: 472 ms
77 fail, cost: 397 ms
78 fail, cost: 1029 ms
79 fail, cost: 428 ms
80 fail, cost: 1155 ms
81 fail, cost: 971 ms
82 fail, cost: 1449 ms
83 fail, cost: 718 ms
84 fail, cost: 715 ms
85 fail, cost: 521 ms
86 fail, cost: 1052 ms
87 fail, cost: 421 ms
88 fail, cost: 1168 ms
89 fail, cost: 771 ms
90 fail, cost: 1504 ms
91 fail, cost: 633 ms
92 fail, cost: 482 ms
93 fail, cost: 356 ms
94 fail, cost: 432 ms
95 fail, cost: 402 ms
96 fail, cost: 1815 ms
97 fail, cost: 700 ms
98 fail, cost: 668 ms
99 fail, cost: 848 ms
100 fail, cost: 1183 ms
101 fail, cost: 927 ms
102 fail, cost: 406 ms
103 fail, cost: 376 ms
104 fail, cost: 622 ms
105 fail, cost: 1372 ms
106 fail, cost: 1012 ms
107 fail, cost: 1057 ms
108 fail, cost: 1398 ms
109 fail, cost: 479 ms
110 fail, cost: 360 ms
111 fail, cost: 373 ms
112 fail, cost: 826 ms
113 fail, cost: 1234 ms
114 fail, cost: 750 ms
115 fail, cost: 791 ms
116 fail, cost: 598 ms
117 fail, cost: 398 ms
118 fail, cost: 962 ms
119 fail, cost: 321 ms
120 fail, cost: 825 ms
121 fail, cost: 593 ms
122 fail, cost: 1230 ms
123 fail, cost: 1505 ms
124 fail, cost: 537 ms
125 fail, cost: 581 ms
126 fail, cost: 680 ms
127 fail, cost: 496 ms
128 fail, cost: 1795 ms
129 fail, cost: 883 ms
130 fail, cost: 924 ms
131 fail, cost: 1264 ms
132 fail, cost: 565 ms
133 fail, cost: 516 ms
134 fail, cost: 735 ms
135 fail, cost: 659 ms
136 fail, cost: 1561 ms
137 fail, cost: 796 ms
138 fail, cost: 732 ms
139 fail, cost: 662 ms
140 fail, cost: 1374 ms
141 fail, cost: 422 ms
142 fail, cost: 486 ms
143 fail, cost: 378 ms
144 fail, cost: 1476 ms
145 fail, cost: 759 ms
146 fail, cost: 740 ms
147 fail, cost: 643 ms
148 fail, cost: 505 ms
149 fail, cost: 1148 ms
150 fail, cost: 427 ms
151 fail, cost: 459 ms
152 fail, cost: 1244 ms
153 fail, cost: 1467 ms
154 fail, cost: 1090 ms
155 fail, cost: 820 ms
156 fail, cost: 865 ms
157 fail, cost: 1322 ms
158 fail, cost: 511 ms
159 fail, cost: 488 ms
160 fail, cost: 866 ms
161 fail, cost: 1370 ms
162 fail, cost: 796 ms
163 fail, cost: 581 ms
164 fail, cost: 668 ms
165 fail, cost: 471 ms
166 fail, cost: 1087 ms
167 fail, cost: 305 ms
168 fail, cost: 810 ms
169 fail, cost: 660 ms
170 fail, cost: 658 ms
171 fail, cost: 1196 ms
172 fail, cost: 611 ms
173 fail, cost: 367 ms
174 fail, cost: 408 ms
175 fail, cost: 356 ms
176 fail, cost: 814 ms
177 fail, cost: 1409 ms
178 fail, cost: 661 ms
179 fail, cost: 589 ms
180 fail, cost: 661 ms
181 fail, cost: 1346 ms
182 fail, cost: 893 ms
183 fail, cost: 473 ms
184 fail, cost: 1063 ms
185 fail, cost: 1450 ms
186 fail, cost: 995 ms
187 fail, cost: 906 ms
188 fail, cost: 673 ms
189 fail, cost: 1163 ms
190 fail, cost: 504 ms
191 fail, cost: 476 ms
192 fail, cost: 1166 ms
193 fail, cost: 889 ms
194 fail, cost: 1644 ms
195 fail, cost: 856 ms
196 fail, cost: 564 ms
197 fail, cost: 454 ms
198 fail, cost: 1181 ms
199 fail, cost: 596 ms
200 fail, cost: 675 ms
201 fail, cost: 612 ms
202 fail, cost: 626 ms
203 fail, cost: 1254 ms
204 fail, cost: 464 ms
205 fail, cost: 388 ms
206 fail, cost: 406 ms
207 fail, cost: 417 ms
208 fail, cost: 1292 ms
209 fail, cost: 556 ms
210 fail, cost: 676 ms
211 fail, cost: 676 ms
212 fail, cost: 413 ms
213 fail, cost: 920 ms
214 fail, cost: 417 ms
215 fail, cost: 329 ms
216 fail, cost: 969 ms
217 fail, cost: 587 ms
218 fail, cost: 1233 ms
219 fail, cost: 496 ms
220 fail, cost: 599 ms
221 fail, cost: 485 ms
222 fail, cost: 658 ms
223 fail, cost: 1358 ms
224 fail, cost: 1129 ms
225 fail, cost: 1181 ms
226 fail, cost: 1667 ms
227 fail, cost: 985 ms
228 fail, cost: 493 ms
229 fail, cost: 449 ms
230 fail, cost: 473 ms
231 fail, cost: 1260 ms
232 fail, cost: 777 ms
233 fail, cost: 805 ms
234 fail, cost: 929 ms
235 fail, cost: 1471 ms
236 fail, cost: 816 ms
237 fail, cost: 753 ms
238 fail, cost: 760 ms
239 fail, cost: 972 ms
240 fail, cost: 758 ms
241 fail, cost: 732 ms
242 fail, cost: 713 ms
243 fail, cost: 1543 ms
244 fail, cost: 587 ms
245 fail, cost: 453 ms
246 fail, cost: 509 ms
247 fail, cost: 498 ms
248 fail, cost: 600 ms
249 fail, cost: 1148 ms
250 fail, cost: 571 ms
251 fail, cost: 425 ms
252 fail, cost: 603 ms
253 fail, cost: 403 ms
254 fail, cost: 460 ms
255 fail, cost: 936 ms
