0 fail, cost: 591 ms
1 fail, cost: 585 ms
2 fail, cost: 922 ms
3 fail, cost: 1538 ms
4 fail, cost: 966 ms
5 fail, cost: 1111 ms
6 fail, cost: 1376 ms
7 fail, cost: 717 ms
8 fail, cost: 850 ms
9 fail, cost: 830 ms
10 fail, cost: 1339 ms
11 fail, cost: 736 ms
12 fail, cost: 1022 ms
13 fail, cost: 685 ms
14 fail, cost: 1503 ms
15 fail, cost: 577 ms
16 fail, cost: 739 ms
17 fail, cost: 790 ms
18 fail, cost: 1272 ms
19 fail, cost: 610 ms
20 fail, cost: 871 ms
21 fail, cost: 994 ms
22 fail, cost: 1264 ms
23 fail, cost: 613 ms
24 fail, cost: 988 ms
25 fail, cost: 759 ms
26 fail, cost: 1454 ms
27 fail, cost: 668 ms
28 fail, cost: 820 ms
29 fail, cost: 717 ms
30 fail, cost: 1469 ms
31 fail, cost: 792 ms
32 fail, cost: 751 ms
33 fail, cost: 656 ms
34 fail, cost: 1300 ms
35 fail, cost: 662 ms
36 fail, cost: 679 ms
37 fail, cost: 708 ms
38 fail, cost: 1356 ms
39 fail, cost: 690 ms
40 fail, cost: 958 ms
41 fail, cost: 650 ms
42 fail, cost: 1516 ms
43 fail, cost: 712 ms
44 fail, cost: 891 ms
45 fail, cost: 542 ms
46 fail, cost: 698 ms
47 fail, cost: 1158 ms
48 fail, cost: 757 ms
49 fail, cost: 923 ms
50 fail, cost: 1500 ms
51 fail, cost: 873 ms
52 fail, cost: 788 ms
53 fail, cost: 614 ms
54 fail, cost: 739 ms
55 fail, cost: 1150 ms
56 fail, cost: 676 ms
57 fail, cost: 601 ms
58 fail, cost: 593 ms
59 fail, cost: 665 ms
60 fail, cost: 1620 ms
61 fail, cost: 943 ms
62 fail, cost: 741 ms
63 fail, cost: 1303 ms
64 fail, cost: 994 ms
65 fail, cost: 842 ms
66 fail, cost: 849 ms
67 fail, cost: 1135 ms
68 fail, cost: 694 ms
69 fail, cost: 603 ms
70 fail, cost: 514 ms
71 fail, cost: 470 ms
72 fail, cost: 1319 ms
73 fail, cost: 619 ms
74 fail, cost: 576 ms
75 fail, cost: 658 ms
76 fail, cost: 801 ms
77 fail, cost: 1243 ms
78 fail, cost: 783 ms
79 fail, cost: 594 ms
80 fail, cost: 787 ms
81 fail, cost: 1378 ms
82 fail, cost: 825 ms
83 fail, cost: 659 ms
84 fail, cost: 746 ms
85 fail, cost: 628 ms
86 fail, cost: 1139 ms
87 fail, cost: 582 ms
88 fail, cost: 668 ms
89 fail, cost: 770 ms
90 fail, cost: 1343 ms
91 fail, cost: 563 ms
92 fail, cost: 768 ms
93 fail, cost: 803 ms
94 fail, cost: 1514 ms
95 fail, cost: 719 ms
96 fail, cost: 952 ms
97 fail, cost: 985 ms
98 fail, cost: 1169 ms
99 fail, cost: 735 ms
100 fail, cost: 662 ms
101 fail, cost: 859 ms
102 fail, cost: 657 ms
103 fail, cost: 1166 ms
104 fail, cost: 760 ms
105 fail, cost: 562 ms
106 fail, cost: 593 ms
107 fail, cost: 523 ms
108 fail, cost: 1360 ms
109 fail, cost: 622 ms
110 fail, cost: 525 ms
111 fail, cost: 451 ms
112 fail, cost: 667 ms
113 fail, cost: 1285 ms
114 fail, cost: 662 ms
115 fail, cost: 548 ms
116 fail, cost: 811 ms
117 fail, cost: 1326 ms
118 fail, cost: 544 ms
119 fail, cost: 479 ms
120 fail, cost: 822 ms
121 fail, cost: 837 ms
122 fail, cost: 1303 ms
123 fail, cost: 803 ms
124 fail, cost: 891 ms
125 fail, cost: 772 ms
126 fail, cost: 1365 ms
127 fail, cost: 620 ms
128 fail, cost: 850 ms
129 fail, cost: 807 ms
130 fail, cost: 1482 ms
131 fail, cost: 732 ms
132 fail, cost: 809 ms
133 fail, cost: 789 ms
134 fail, cost: 1402 ms
135 fail, cost: 678 ms
136 fail, cost: 791 ms
137 fail, cost: 697 ms
138 fail, cost: 1290 ms
139 fail, cost: 696 ms
140 fail, cost: 860 ms
141 fail, cost: 754 ms
142 fail, cost: 1389 ms
143 fail, cost: 831 ms
144 fail, cost: 1113 ms
145 fail, cost: 1558 ms
146 fail, cost: 959 ms
147 fail, cost: 941 ms
148 fail, cost: 1075 ms
149 fail, cost: 1572 ms
150 fail, cost: 846 ms
151 fail, cost: 799 ms
152 fail, cost: 906 ms
153 fail, cost: 1402 ms
154 fail, cost: 638 ms
155 fail, cost: 599 ms
156 fail, cost: 616 ms
157 fail, cost: 1283 ms
158 fail, cost: 525 ms
159 fail, cost: 541 ms
160 fail, cost: 796 ms
161 fail, cost: 862 ms
162 fail, cost: 1305 ms
163 fail, cost: 796 ms
164 fail, cost: 688 ms
165 fail, cost: 596 ms
166 fail, cost: 1171 ms
167 fail, cost: 576 ms
168 fail, cost: 688 ms
169 fail, cost: 707 ms
170 fail, cost: 1329 ms
171 fail, cost: 952 ms
172 fail, cost: 827 ms
173 fail, cost: 818 ms
174 fail, cost: 1288 ms
175 fail, cost: 662 ms
176 fail, cost: 862 ms
177 fail, cost: 733 ms
178 fail, cost: 702 ms
179 fail, cost: 1324 ms
180 fail, cost: 845 ms
181 fail, cost: 808 ms
182 fail, cost: 911 ms
183 fail, cost: 1252 ms
184 fail, cost: 896 ms
185 fail, cost: 686 ms
186 fail, cost: 756 ms
187 fail, cost: 1448 ms
188 fail, cost: 766 ms
189 fail, cost: 549 ms
190 fail, cost: 611 ms
191 fail, cost: 516 ms
192 fail, cost: 1434 ms
193 fail, cost: 716 ms
194 fail, cost: 755 ms
195 fail, cost: 646 ms
196 fail, cost: 1246 ms
1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
197 success, cost: 424 ms
198 fail, cost: 697 ms
199 fail, cost: 608 ms
200 fail, cost: 755 ms
201 fail, cost: 1285 ms
202 fail, cost: 678 ms
203 fail, cost: 563 ms
204 fail, cost: 644 ms
205 fail, cost: 577 ms
206 fail, cost: 1168 ms
207 fail, cost: 607 ms
208 fail, cost: 917 ms
209 fail, cost: 738 ms
210 fail, cost: 1323 ms
211 fail, cost: 885 ms
212 fail, cost: 854 ms
213 fail, cost: 775 ms
214 fail, cost: 1289 ms
215 fail, cost: 778 ms
216 fail, cost: 987 ms
217 fail, cost: 691 ms
218 fail, cost: 1422 ms
219 fail, cost: 642 ms
220 fail, cost: 920 ms
221 fail, cost: 590 ms
222 fail, cost: 702 ms
223 fail, cost: 1179 ms
224 fail, cost: 841 ms
225 fail, cost: 818 ms
226 fail, cost: 742 ms
227 fail, cost: 1281 ms
228 fail, cost: 912 ms
229 fail, cost: 684 ms
230 fail, cost: 929 ms
231 fail, cost: 1210 ms
232 fail, cost: 722 ms
233 fail, cost: 615 ms
234 fail, cost: 628 ms
235 fail, cost: 501 ms
236 fail, cost: 1187 ms
237 fail, cost: 551 ms
238 fail, cost: 558 ms
239 fail, cost: 432 ms
240 fail, cost: 699 ms
241 fail, cost: 1136 ms
242 fail, cost: 633 ms
243 fail, cost: 517 ms
244 fail, cost: 668 ms
245 fail, cost: 545 ms
246 fail, cost: 1027 ms
247 fail, cost: 367 ms
248 fail, cost: 637 ms
249 fail, cost: 476 ms
250 fail, cost: 556 ms
251 fail, cost: 436 ms
252 fail, cost: 1240 ms
253 fail, cost: 429 ms
254 fail, cost: 480 ms
255 fail, cost: 352 ms
