0 fail, cost: 551 ms
1 fail, cost: 705 ms
2 fail, cost: 690 ms
3 fail, cost: 1191 ms
4 fail, cost: 1097 ms
5 fail, cost: 803 ms
6 fail, cost: 683 ms
7 fail, cost: 1089 ms
8 fail, cost: 456 ms
9 fail, cost: 587 ms
10 fail, cost: 429 ms
11 fail, cost: 348 ms
12 fail, cost: 398 ms
13 fail, cost: 1005 ms
14 fail, cost: 402 ms
15 fail, cost: 405 ms
16 fail, cost: 504 ms
17 fail, cost: 339 ms
18 fail, cost: 404 ms
19 fail, cost: 292 ms
20 fail, cost: 406 ms
21 fail, cost: 985 ms
22 fail, cost: 388 ms
23 fail, cost: 324 ms
24 fail, cost: 463 ms
25 fail, cost: 317 ms
26 fail, cost: 349 ms
27 fail, cost: 300 ms
28 fail, cost: 369 ms
29 fail, cost: 943 ms
30 fail, cost: 383 ms
31 fail, cost: 363 ms
32 fail, cost: 467 ms
33 fail, cost: 380 ms
34 fail, cost: 376 ms
35 fail, cost: 472 ms
36 fail, cost: 1198 ms
37 fail, cost: 435 ms
38 fail, cost: 382 ms
39 fail, cost: 540 ms
40 fail, cost: 455 ms
41 fail, cost: 474 ms
42 fail, cost: 409 ms
43 fail, cost: 1141 ms
44 fail, cost: 516 ms
45 fail, cost: 319 ms
46 fail, cost: 339 ms
47 fail, cost: 320 ms
48 fail, cost: 422 ms
49 fail, cost: 350 ms
50 fail, cost: 985 ms
51 fail, cost: 417 ms
52 fail, cost: 382 ms
53 fail, cost: 502 ms
54 fail, cost: 561 ms
55 fail, cost: 341 ms
56 fail, cost: 467 ms
57 fail, cost: 921 ms
58 fail, cost: 492 ms
59 fail, cost: 389 ms
60 fail, cost: 560 ms
61 fail, cost: 310 ms
62 fail, cost: 325 ms
63 fail, cost: 372 ms
64 fail, cost: 1049 ms
65 fail, cost: 325 ms
66 fail, cost: 533 ms
0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 
67 success, cost: 489 ms
68 fail, cost: 616 ms
69 fail, cost: 353 ms
70 fail, cost: 1173 ms
71 fail, cost: 463 ms
72 fail, cost: 381 ms
73 fail, cost: 340 ms
74 fail, cost: 449 ms
75 fail, cost: 433 ms
76 fail, cost: 501 ms
77 fail, cost: 917 ms
78 fail, cost: 360 ms
79 fail, cost: 533 ms
80 fail, cost: 451 ms
81 fail, cost: 358 ms
82 fail, cost: 527 ms
83 fail, cost: 530 ms
84 fail, cost: 914 ms
85 fail, cost: 510 ms
86 fail, cost: 505 ms
87 fail, cost: 338 ms
88 fail, cost: 441 ms
89 fail, cost: 316 ms
90 fail, cost: 322 ms
91 fail, cost: 314 ms
92 fail, cost: 1050 ms
93 fail, cost: 308 ms
94 fail, cost: 316 ms
95 fail, cost: 315 ms
96 fail, cost: 530 ms
97 fail, cost: 272 ms
98 fail, cost: 385 ms
99 fail, cost: 1016 ms
100 fail, cost: 604 ms
101 fail, cost: 404 ms
102 fail, cost: 590 ms
103 fail, cost: 615 ms
104 fail, cost: 1619 ms
105 fail, cost: 430 ms
106 fail, cost: 848 ms
107 fail, cost: 608 ms
108 fail, cost: 472 ms
109 fail, cost: 308 ms
110 fail, cost: 977 ms
111 fail, cost: 549 ms
112 fail, cost: 491 ms
113 fail, cost: 450 ms
114 fail, cost: 477 ms
115 fail, cost: 369 ms
116 fail, cost: 350 ms
117 fail, cost: 903 ms
118 fail, cost: 302 ms
119 fail, cost: 288 ms
