0 fail, cost: 522 ms
1 fail, cost: 547 ms
2 fail, cost: 525 ms
3 fail, cost: 606 ms
4 fail, cost: 1140 ms
5 fail, cost: 589 ms
6 fail, cost: 464 ms
7 fail, cost: 658 ms
8 fail, cost: 1319 ms
9 fail, cost: 618 ms
10 fail, cost: 732 ms
11 fail, cost: 788 ms
12 fail, cost: 497 ms
13 fail, cost: 1259 ms
14 fail, cost: 535 ms
15 fail, cost: 524 ms
16 fail, cost: 686 ms
17 fail, cost: 597 ms
18 fail, cost: 1281 ms
19 fail, cost: 745 ms
20 fail, cost: 542 ms
21 fail, cost: 664 ms
22 fail, cost: 650 ms
23 fail, cost: 1320 ms
24 fail, cost: 897 ms
25 fail, cost: 934 ms
26 fail, cost: 562 ms
27 fail, cost: 1383 ms
28 fail, cost: 535 ms
29 fail, cost: 492 ms
30 fail, cost: 593 ms
31 fail, cost: 502 ms
32 fail, cost: 1246 ms
33 fail, cost: 586 ms
34 fail, cost: 529 ms
35 fail, cost: 657 ms
36 fail, cost: 578 ms
37 fail, cost: 1224 ms
38 fail, cost: 546 ms
39 fail, cost: 484 ms
40 fail, cost: 638 ms
1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
41 success, cost: 487 ms
42 fail, cost: 1136 ms
43 fail, cost: 764 ms
44 fail, cost: 670 ms
45 fail, cost: 477 ms
46 fail, cost: 528 ms
47 fail, cost: 1202 ms
48 fail, cost: 618 ms
49 fail, cost: 732 ms
50 fail, cost: 623 ms
51 fail, cost: 833 ms
52 fail, cost: 1262 ms
53 fail, cost: 584 ms
54 fail, cost: 603 ms
55 fail, cost: 400 ms
56 fail, cost: 589 ms
57 fail, cost: 1118 ms
58 fail, cost: 517 ms
59 fail, cost: 438 ms
60 fail, cost: 614 ms
61 fail, cost: 548 ms
62 fail, cost: 1222 ms
63 fail, cost: 625 ms
64 fail, cost: 640 ms
65 fail, cost: 628 ms
66 fail, cost: 600 ms
67 fail, cost: 1259 ms
68 fail, cost: 541 ms
69 fail, cost: 571 ms
70 fail, cost: 526 ms
71 fail, cost: 477 ms
72 fail, cost: 1373 ms
73 fail, cost: 776 ms
74 fail, cost: 635 ms
75 fail, cost: 579 ms
76 fail, cost: 776 ms
77 fail, cost: 1404 ms
78 fail, cost: 722 ms
79 fail, cost: 642 ms
80 fail, cost: 667 ms
81 fail, cost: 1219 ms
82 fail, cost: 672 ms
83 fail, cost: 689 ms
84 fail, cost: 734 ms
85 fail, cost: 1115 ms
86 fail, cost: 438 ms
87 fail, cost: 500 ms
88 fail, cost: 435 ms
89 fail, cost: 599 ms
90 fail, cost: 463 ms
91 fail, cost: 1275 ms
92 fail, cost: 533 ms
93 fail, cost: 556 ms
94 fail, cost: 592 ms
95 fail, cost: 520 ms
96 fail, cost: 819 ms
97 fail, cost: 1650 ms
98 fail, cost: 687 ms
99 fail, cost: 755 ms
100 fail, cost: 604 ms
101 fail, cost: 1120 ms
102 fail, cost: 469 ms
103 fail, cost: 433 ms
104 fail, cost: 681 ms
105 fail, cost: 699 ms
106 fail, cost: 1177 ms
107 fail, cost: 521 ms
108 fail, cost: 629 ms
109 fail, cost: 527 ms
110 fail, cost: 602 ms
111 fail, cost: 522 ms
112 fail, cost: 1275 ms
113 fail, cost: 635 ms
114 fail, cost: 686 ms
115 fail, cost: 842 ms
116 fail, cost: 1291 ms
117 fail, cost: 413 ms
118 fail, cost: 469 ms
119 fail, cost: 365 ms
120 fail, cost: 628 ms
121 fail, cost: 521 ms
122 fail, cost: 392 ms
123 fail, cost: 1105 ms
124 fail, cost: 480 ms
125 fail, cost: 494 ms
126 fail, cost: 496 ms
127 fail, cost: 430 ms
128 fail, cost: 600 ms
129 fail, cost: 1618 ms
130 fail, cost: 1002 ms
131 fail, cost: 805 ms
132 fail, cost: 1362 ms
133 fail, cost: 683 ms
134 fail, cost: 624 ms
135 fail, cost: 745 ms
136 fail, cost: 1519 ms
137 fail, cost: 916 ms
138 fail, cost: 696 ms
139 fail, cost: 1541 ms
140 fail, cost: 891 ms
141 fail, cost: 784 ms
142 fail, cost: 721 ms
143 fail, cost: 568 ms
144 fail, cost: 1534 ms
145 fail, cost: 633 ms
146 fail, cost: 751 ms
147 fail, cost: 623 ms
148 fail, cost: 1170 ms
149 fail, cost: 493 ms
150 fail, cost: 498 ms
151 fail, cost: 514 ms
152 fail, cost: 702 ms
153 fail, cost: 1293 ms
154 fail, cost: 797 ms
155 fail, cost: 634 ms
156 fail, cost: 481 ms
157 fail, cost: 391 ms
158 fail, cost: 929 ms
159 fail, cost: 291 ms
160 fail, cost: 649 ms
161 fail, cost: 598 ms
162 fail, cost: 605 ms
163 fail, cost: 1498 ms
164 fail, cost: 546 ms
165 fail, cost: 621 ms
166 fail, cost: 584 ms
167 fail, cost: 536 ms
168 fail, cost: 697 ms
169 fail, cost: 1409 ms
170 fail, cost: 730 ms
171 fail, cost: 807 ms
172 fail, cost: 667 ms
173 fail, cost: 1152 ms
174 fail, cost: 630 ms
