0 fail, cost: 358 ms
1 fail, cost: 420 ms
2 fail, cost: 525 ms
3 fail, cost: 586 ms
4 fail, cost: 1239 ms
5 fail, cost: 684 ms
6 fail, cost: 628 ms
7 fail, cost: 653 ms
8 fail, cost: 585 ms
9 fail, cost: 1171 ms
10 fail, cost: 720 ms
11 fail, cost: 681 ms
12 fail, cost: 587 ms
13 fail, cost: 1286 ms
14 fail, cost: 701 ms
15 fail, cost: 627 ms
16 fail, cost: 593 ms
17 fail, cost: 517 ms
18 fail, cost: 1125 ms
19 fail, cost: 632 ms
20 fail, cost: 427 ms
21 fail, cost: 468 ms
22 fail, cost: 393 ms
23 fail, cost: 342 ms
24 fail, cost: 524 ms
25 fail, cost: 422 ms
26 fail, cost: 1024 ms
27 fail, cost: 580 ms
28 fail, cost: 603 ms
29 fail, cost: 474 ms
30 fail, cost: 430 ms
31 fail, cost: 362 ms
32 fail, cost: 1268 ms
33 fail, cost: 645 ms
34 fail, cost: 812 ms
35 fail, cost: 678 ms
36 fail, cost: 712 ms
37 fail, cost: 1449 ms
38 fail, cost: 614 ms
39 fail, cost: 496 ms
40 fail, cost: 734 ms
41 fail, cost: 1130 ms
42 fail, cost: 731 ms
43 fail, cost: 686 ms
44 fail, cost: 799 ms
45 fail, cost: 625 ms
46 fail, cost: 1185 ms
47 fail, cost: 505 ms
48 fail, cost: 725 ms
49 fail, cost: 524 ms
50 fail, cost: 626 ms
51 fail, cost: 1273 ms
52 fail, cost: 657 ms
53 fail, cost: 562 ms
54 fail, cost: 588 ms
55 fail, cost: 553 ms
56 fail, cost: 1221 ms
57 fail, cost: 526 ms
58 fail, cost: 506 ms
59 fail, cost: 492 ms
60 fail, cost: 448 ms
61 fail, cost: 526 ms
62 fail, cost: 414 ms
63 fail, cost: 1024 ms
64 fail, cost: 795 ms
65 fail, cost: 709 ms
66 fail, cost: 726 ms
67 fail, cost: 1231 ms
68 fail, cost: 739 ms
69 fail, cost: 603 ms
70 fail, cost: 616 ms
71 fail, cost: 572 ms
72 fail, cost: 1248 ms
73 fail, cost: 526 ms
74 fail, cost: 633 ms
75 fail, cost: 514 ms
76 fail, cost: 586 ms
77 fail, cost: 1188 ms
78 fail, cost: 629 ms
79 fail, cost: 683 ms
80 fail, cost: 677 ms
81 fail, cost: 697 ms
82 fail, cost: 1234 ms
83 fail, cost: 563 ms
84 fail, cost: 558 ms
85 fail, cost: 493 ms
86 fail, cost: 390 ms
87 fail, cost: 370 ms
88 fail, cost: 1121 ms
89 fail, cost: 450 ms
90 fail, cost: 527 ms
91 fail, cost: 429 ms
92 fail, cost: 391 ms
93 fail, cost: 353 ms
94 fail, cost: 312 ms
95 fail, cost: 338 ms
96 fail, cost: 1301 ms
97 fail, cost: 591 ms
98 fail, cost: 732 ms
99 fail, cost: 766 ms
100 fail, cost: 1288 ms
101 fail, cost: 618 ms
102 fail, cost: 640 ms
103 fail, cost: 605 ms
104 fail, cost: 645 ms
105 fail, cost: 1235 ms
106 fail, cost: 696 ms
107 fail, cost: 678 ms
108 fail, cost: 596 ms
109 fail, cost: 483 ms
110 fail, cost: 1123 ms
111 fail, cost: 454 ms
112 fail, cost: 584 ms
113 fail, cost: 499 ms
114 fail, cost: 463 ms
115 fail, cost: 434 ms
116 fail, cost: 1033 ms
117 fail, cost: 336 ms
118 fail, cost: 356 ms
119 fail, cost: 363 ms
120 fail, cost: 421 ms
121 fail, cost: 582 ms
122 fail, cost: 475 ms
123 fail, cost: 1112 ms
124 fail, cost: 521 ms
125 fail, cost: 450 ms
126 fail, cost: 521 ms
127 fail, cost: 434 ms
128 fail, cost: 687 ms
129 fail, cost: 1267 ms
130 fail, cost: 661 ms
131 fail, cost: 737 ms
132 fail, cost: 782 ms
133 fail, cost: 587 ms
134 fail, cost: 1168 ms
135 fail, cost: 483 ms
136 fail, cost: 681 ms
137 fail, cost: 583 ms
138 fail, cost: 709 ms
139 fail, cost: 1115 ms
140 fail, cost: 698 ms
141 fail, cost: 516 ms
142 fail, cost: 455 ms
143 fail, cost: 489 ms
144 fail, cost: 1140 ms
145 fail, cost: 571 ms
146 fail, cost: 496 ms
147 fail, cost: 464 ms
148 fail, cost: 560 ms
149 fail, cost: 421 ms
150 fail, cost: 1043 ms
151 fail, cost: 415 ms
152 fail, cost: 483 ms
153 fail, cost: 602 ms
154 fail, cost: 536 ms
155 fail, cost: 605 ms
156 fail, cost: 1115 ms
157 fail, cost: 514 ms
158 fail, cost: 454 ms
159 fail, cost: 412 ms
160 fail, cost: 745 ms
161 fail, cost: 611 ms
162 fail, cost: 1289 ms
163 fail, cost: 562 ms
164 fail, cost: 691 ms
165 fail, cost: 524 ms
166 fail, cost: 483 ms
167 fail, cost: 1043 ms
168 fail, cost: 619 ms
169 fail, cost: 543 ms
170 fail, cost: 497 ms
171 fail, cost: 463 ms
172 fail, cost: 1178 ms
173 fail, cost: 554 ms
174 fail, cost: 487 ms
175 fail, cost: 452 ms
176 fail, cost: 583 ms
177 fail, cost: 1165 ms
178 fail, cost: 631 ms
179 fail, cost: 523 ms
180 fail, cost: 797 ms
181 fail, cost: 535 ms
182 fail, cost: 1173 ms
183 fail, cost: 550 ms
184 fail, cost: 579 ms
185 fail, cost: 369 ms
186 fail, cost: 604 ms
187 fail, cost: 583 ms
188 fail, cost: 1234 ms
189 fail, cost: 456 ms
190 fail, cost: 504 ms
191 fail, cost: 432 ms
192 fail, cost: 705 ms
193 fail, cost: 659 ms
194 fail, cost: 1271 ms
195 fail, cost: 706 ms
196 fail, cost: 671 ms
197 fail, cost: 572 ms
198 fail, cost: 1177 ms
199 fail, cost: 594 ms
200 fail, cost: 603 ms
201 fail, cost: 484 ms
202 fail, cost: 502 ms
203 fail, cost: 476 ms
204 fail, cost: 1157 ms
205 fail, cost: 539 ms
206 fail, cost: 431 ms
207 fail, cost: 448 ms
208 fail, cost: 532 ms
209 fail, cost: 1143 ms
210 fail, cost: 428 ms
211 fail, cost: 484 ms
212 fail, cost: 408 ms
213 fail, cost: 321 ms
214 fail, cost: 349 ms
215 fail, cost: 290 ms
216 fail, cost: 533 ms
217 fail, cost: 1078 ms
218 fail, cost: 460 ms
219 fail, cost: 408 ms
220 fail, cost: 437 ms
221 fail, cost: 378 ms
222 fail, cost: 268 ms
223 fail, cost: 965 ms
224 fail, cost: 782 ms
225 fail, cost: 685 ms
226 fail, cost: 647 ms
227 fail, cost: 619 ms
228 fail, cost: 1380 ms
229 fail, cost: 601 ms
230 fail, cost: 592 ms
231 fail, cost: 564 ms
232 fail, cost: 629 ms
233 fail, cost: 1140 ms
234 fail, cost: 744 ms
235 fail, cost: 710 ms
236 fail, cost: 585 ms
237 fail, cost: 518 ms
238 fail, cost: 662 ms
239 fail, cost: 1114 ms
240 fail, cost: 644 ms
241 fail, cost: 614 ms
242 fail, cost: 592 ms
243 fail, cost: 571 ms
244 fail, cost: 1111 ms
245 fail, cost: 476 ms
246 fail, cost: 314 ms
247 fail, cost: 348 ms
248 fail, cost: 526 ms
249 fail, cost: 564 ms
250 fail, cost: 373 ms
251 fail, cost: 976 ms
252 fail, cost: 585 ms
253 fail, cost: 365 ms
254 fail, cost: 413 ms
255 fail, cost: 302 ms
