0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 
0 success, cost: 30 ms
1 fail, cost: 528 ms
2 fail, cost: 401 ms
3 fail, cost: 476 ms
4 fail, cost: 634 ms
5 fail, cost: 1182 ms
6 fail, cost: 784 ms
7 fail, cost: 589 ms
8 fail, cost: 715 ms
9 fail, cost: 1213 ms
10 fail, cost: 667 ms
11 fail, cost: 872 ms
12 fail, cost: 565 ms
13 fail, cost: 977 ms
14 fail, cost: 917 ms
15 fail, cost: 667 ms
16 fail, cost: 638 ms
17 fail, cost: 499 ms
18 fail, cost: 1378 ms
19 fail, cost: 741 ms
20 fail, cost: 663 ms
21 fail, cost: 464 ms
22 fail, cost: 555 ms
23 fail, cost: 1102 ms
24 fail, cost: 507 ms
25 fail, cost: 524 ms
26 fail, cost: 499 ms
27 fail, cost: 506 ms
28 fail, cost: 397 ms
29 fail, cost: 963 ms
30 fail, cost: 363 ms
31 fail, cost: 380 ms
32 fail, cost: 707 ms
33 fail, cost: 594 ms
34 fail, cost: 1340 ms
35 fail, cost: 725 ms
36 fail, cost: 743 ms
37 fail, cost: 689 ms
38 fail, cost: 706 ms
39 fail, cost: 1501 ms
40 fail, cost: 917 ms
41 fail, cost: 562 ms
42 fail, cost: 716 ms
43 fail, cost: 1187 ms
44 fail, cost: 455 ms
45 fail, cost: 479 ms
46 fail, cost: 388 ms
47 fail, cost: 390 ms
48 fail, cost: 1246 ms
49 fail, cost: 897 ms
50 fail, cost: 940 ms
51 fail, cost: 813 ms
52 fail, cost: 1358 ms
53 fail, cost: 600 ms
54 fail, cost: 434 ms
55 fail, cost: 546 ms
56 fail, cost: 547 ms
57 fail, cost: 471 ms
58 fail, cost: 449 ms
59 fail, cost: 939 ms
60 fail, cost: 476 ms
61 fail, cost: 464 ms
62 fail, cost: 436 ms
63 fail, cost: 468 ms
64 fail, cost: 804 ms
65 fail, cost: 1238 ms
66 fail, cost: 624 ms
67 fail, cost: 601 ms
68 fail, cost: 623 ms
69 fail, cost: 498 ms
70 fail, cost: 1129 ms
71 fail, cost: 558 ms
72 fail, cost: 765 ms
73 fail, cost: 443 ms
74 fail, cost: 572 ms
75 fail, cost: 1017 ms
76 fail, cost: 593 ms
77 fail, cost: 481 ms
78 fail, cost: 533 ms
79 fail, cost: 477 ms
80 fail, cost: 1313 ms
81 fail, cost: 587 ms
82 fail, cost: 692 ms
83 fail, cost: 486 ms
84 fail, cost: 768 ms
85 fail, cost: 473 ms
86 fail, cost: 1034 ms
87 fail, cost: 473 ms
88 fail, cost: 529 ms
89 fail, cost: 434 ms
90 fail, cost: 464 ms
91 fail, cost: 431 ms
92 fail, cost: 1042 ms
93 fail, cost: 337 ms
94 fail, cost: 381 ms
95 fail, cost: 402 ms
96 fail, cost: 573 ms
97 fail, cost: 604 ms
98 fail, cost: 1025 ms
99 fail, cost: 390 ms
