0 fail, cost: 337 ms
1 fail, cost: 317 ms
2 fail, cost: 276 ms
3 fail, cost: 276 ms
4 fail, cost: 267 ms
5 fail, cost: 333 ms
6 fail, cost: 274 ms
7 fail, cost: 295 ms
8 fail, cost: 916 ms
9 fail, cost: 398 ms
10 fail, cost: 361 ms
11 fail, cost: 267 ms
12 fail, cost: 391 ms
13 fail, cost: 423 ms
14 fail, cost: 354 ms
15 fail, cost: 909 ms
16 fail, cost: 442 ms
17 fail, cost: 404 ms
18 fail, cost: 336 ms
19 fail, cost: 280 ms
20 fail, cost: 564 ms
21 fail, cost: 377 ms
22 fail, cost: 323 ms
23 fail, cost: 867 ms
24 fail, cost: 516 ms
25 fail, cost: 386 ms
26 fail, cost: 397 ms
27 fail, cost: 284 ms
28 fail, cost: 446 ms
29 fail, cost: 365 ms
30 fail, cost: 280 ms
31 fail, cost: 881 ms
32 fail, cost: 441 ms
33 fail, cost: 299 ms
34 fail, cost: 314 ms
35 fail, cost: 333 ms
36 fail, cost: 372 ms
37 fail, cost: 394 ms
38 fail, cost: 341 ms
39 fail, cost: 359 ms
40 fail, cost: 346 ms
41 fail, cost: 942 ms
42 fail, cost: 330 ms
43 fail, cost: 420 ms
44 fail, cost: 443 ms
45 fail, cost: 369 ms
46 fail, cost: 355 ms
47 fail, cost: 269 ms
48 fail, cost: 954 ms
49 fail, cost: 368 ms
50 fail, cost: 337 ms
51 fail, cost: 299 ms
52 fail, cost: 478 ms
53 fail, cost: 420 ms
54 fail, cost: 359 ms
55 fail, cost: 295 ms
56 fail, cost: 1108 ms
57 fail, cost: 428 ms
58 fail, cost: 291 ms
59 fail, cost: 256 ms
60 fail, cost: 387 ms
61 fail, cost: 334 ms
62 fail, cost: 323 ms
63 fail, cost: 255 ms
64 fail, cost: 319 ms
65 fail, cost: 970 ms
66 fail, cost: 362 ms
67 fail, cost: 310 ms
68 fail, cost: 301 ms
69 fail, cost: 367 ms
70 fail, cost: 587 ms
71 fail, cost: 541 ms
72 fail, cost: 994 ms
73 fail, cost: 322 ms
74 fail, cost: 323 ms
75 fail, cost: 278 ms
76 fail, cost: 432 ms
77 fail, cost: 315 ms
78 fail, cost: 342 ms
79 fail, cost: 317 ms
80 fail, cost: 1174 ms
81 fail, cost: 445 ms
82 fail, cost: 288 ms
83 fail, cost: 298 ms
84 fail, cost: 524 ms
85 fail, cost: 427 ms
86 fail, cost: 383 ms
87 fail, cost: 317 ms
88 fail, cost: 995 ms
89 fail, cost: 328 ms
90 fail, cost: 285 ms
91 fail, cost: 232 ms
92 fail, cost: 452 ms
93 fail, cost: 301 ms
94 fail, cost: 310 ms
95 fail, cost: 228 ms
96 fail, cost: 1061 ms
97 fail, cost: 339 ms
98 fail, cost: 346 ms
99 fail, cost: 321 ms
100 fail, cost: 604 ms
101 fail, cost: 540 ms
102 fail, cost: 544 ms
103 fail, cost: 373 ms
104 fail, cost: 1094 ms
105 fail, cost: 369 ms
106 fail, cost: 349 ms
107 fail, cost: 386 ms
108 fail, cost: 478 ms
109 fail, cost: 312 ms
110 fail, cost: 302 ms
111 fail, cost: 876 ms
112 fail, cost: 411 ms
113 fail, cost: 400 ms
114 fail, cost: 371 ms
115 fail, cost: 292 ms
116 fail, cost: 406 ms
117 fail, cost: 328 ms
118 fail, cost: 312 ms
119 fail, cost: 301 ms
120 fail, cost: 999 ms
121 fail, cost: 379 ms
122 fail, cost: 340 ms
123 fail, cost: 292 ms
