0 fail, cost: 691 ms
1 fail, cost: 499 ms
2 fail, cost: 605 ms
3 fail, cost: 1165 ms
4 fail, cost: 1134 ms
5 fail, cost: 1108 ms
6 fail, cost: 1706 ms
7 fail, cost: 1157 ms
8 fail, cost: 1008 ms
9 fail, cost: 1188 ms
10 fail, cost: 839 ms
11 fail, cost: 670 ms
12 fail, cost: 795 ms
13 fail, cost: 1157 ms
14 fail, cost: 963 ms
15 fail, cost: 760 ms
16 fail, cost: 760 ms
17 fail, cost: 1198 ms
18 fail, cost: 835 ms
19 fail, cost: 740 ms
20 fail, cost: 1038 ms
21 fail, cost: 1175 ms
22 fail, cost: 707 ms
23 fail, cost: 1055 ms
24 fail, cost: 957 ms
25 fail, cost: 1299 ms
26 fail, cost: 824 ms
27 fail, cost: 682 ms
28 fail, cost: 770 ms
29 fail, cost: 1383 ms
30 fail, cost: 863 ms
31 fail, cost: 687 ms
32 fail, cost: 762 ms
33 fail, cost: 1217 ms
34 fail, cost: 607 ms
35 fail, cost: 629 ms
36 fail, cost: 755 ms
37 fail, cost: 1590 ms
38 fail, cost: 849 ms
39 fail, cost: 798 ms
40 fail, cost: 985 ms
41 fail, cost: 1163 ms
42 fail, cost: 623 ms
43 fail, cost: 661 ms
44 fail, cost: 690 ms
45 fail, cost: 1221 ms
46 fail, cost: 667 ms
0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 
47 success, cost: 757 ms
48 fail, cost: 787 ms
49 fail, cost: 1368 ms
50 fail, cost: 849 ms
51 fail, cost: 656 ms
52 fail, cost: 754 ms
53 fail, cost: 627 ms
54 fail, cost: 1226 ms
55 fail, cost: 566 ms
56 fail, cost: 987 ms
57 fail, cost: 568 ms
58 fail, cost: 1170 ms
59 fail, cost: 585 ms
60 fail, cost: 919 ms
61 fail, cost: 551 ms
62 fail, cost: 775 ms
63 fail, cost: 1194 ms
64 fail, cost: 967 ms
65 fail, cost: 690 ms
66 fail, cost: 469 ms
67 fail, cost: 399 ms
68 fail, cost: 1003 ms
69 fail, cost: 435 ms
70 fail, cost: 439 ms
71 fail, cost: 370 ms
72 fail, cost: 495 ms
73 fail, cost: 421 ms
74 fail, cost: 1053 ms
75 fail, cost: 403 ms
76 fail, cost: 526 ms
77 fail, cost: 348 ms
78 fail, cost: 595 ms
79 fail, cost: 713 ms
80 fail, cost: 1205 ms
81 fail, cost: 506 ms
82 fail, cost: 404 ms
83 fail, cost: 759 ms
84 fail, cost: 396 ms
85 fail, cost: 467 ms
86 fail, cost: 1043 ms
87 fail, cost: 438 ms
88 fail, cost: 533 ms
89 fail, cost: 411 ms
90 fail, cost: 466 ms
91 fail, cost: 444 ms
92 fail, cost: 1052 ms
93 fail, cost: 355 ms
94 fail, cost: 633 ms
95 fail, cost: 596 ms
96 fail, cost: 727 ms
97 fail, cost: 1202 ms
98 fail, cost: 633 ms
99 fail, cost: 601 ms
100 fail, cost: 817 ms
101 fail, cost: 1535 ms
102 fail, cost: 917 ms
103 fail, cost: 749 ms
104 fail, cost: 561 ms
105 fail, cost: 624 ms
106 fail, cost: 1309 ms
107 fail, cost: 421 ms
108 fail, cost: 450 ms
109 fail, cost: 469 ms
110 fail, cost: 476 ms
111 fail, cost: 618 ms
112 fail, cost: 516 ms
113 fail, cost: 1206 ms
114 fail, cost: 680 ms
115 fail, cost: 560 ms
116 fail, cost: 667 ms
117 fail, cost: 1208 ms
118 fail, cost: 671 ms
119 fail, cost: 473 ms
120 fail, cost: 531 ms
121 fail, cost: 374 ms
122 fail, cost: 482 ms
123 fail, cost: 364 ms
124 fail, cost: 1179 ms
125 fail, cost: 585 ms
126 fail, cost: 516 ms
127 fail, cost: 559 ms
128 fail, cost: 1523 ms
129 fail, cost: 644 ms
130 fail, cost: 852 ms
131 fail, cost: 879 ms
132 fail, cost: 1471 ms
133 fail, cost: 673 ms
134 fail, cost: 649 ms
135 fail, cost: 583 ms
136 fail, cost: 625 ms
137 fail, cost: 1197 ms
138 fail, cost: 629 ms
139 fail, cost: 476 ms
140 fail, cost: 568 ms
141 fail, cost: 441 ms
142 fail, cost: 558 ms
143 fail, cost: 1283 ms
144 fail, cost: 670 ms
145 fail, cost: 727 ms
146 fail, cost: 626 ms
147 fail, cost: 1132 ms
148 fail, cost: 825 ms
149 fail, cost: 700 ms
150 fail, cost: 805 ms
151 fail, cost: 1313 ms
152 fail, cost: 636 ms
153 fail, cost: 717 ms
154 fail, cost: 1035 ms
155 fail, cost: 1287 ms
156 fail, cost: 797 ms
157 fail, cost: 947 ms
158 fail, cost: 919 ms
159 fail, cost: 1400 ms
160 fail, cost: 825 ms
