0 fail, cost: 463 ms
1 fail, cost: 517 ms
2 fail, cost: 499 ms
3 fail, cost: 603 ms
4 fail, cost: 1437 ms
5 fail, cost: 751 ms
6 fail, cost: 861 ms
7 fail, cost: 1360 ms
8 fail, cost: 693 ms
9 fail, cost: 995 ms
10 fail, cost: 800 ms
1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 
11 success, cost: 150 ms
12 fail, cost: 1499 ms
13 fail, cost: 883 ms
14 fail, cost: 882 ms
15 fail, cost: 1385 ms
16 fail, cost: 643 ms
17 fail, cost: 992 ms
18 fail, cost: 730 ms
19 fail, cost: 1448 ms
20 fail, cost: 817 ms
21 fail, cost: 805 ms
22 fail, cost: 555 ms
23 fail, cost: 1322 ms
24 fail, cost: 744 ms
25 fail, cost: 612 ms
26 fail, cost: 802 ms
27 fail, cost: 1418 ms
28 fail, cost: 721 ms
29 fail, cost: 734 ms
30 fail, cost: 1501 ms
31 fail, cost: 755 ms
32 fail, cost: 808 ms
33 fail, cost: 888 ms
34 fail, cost: 1454 ms
35 fail, cost: 507 ms
36 fail, cost: 787 ms
37 fail, cost: 760 ms
38 fail, cost: 1385 ms
39 fail, cost: 566 ms
40 fail, cost: 803 ms
41 fail, cost: 640 ms
42 fail, cost: 1252 ms
43 fail, cost: 697 ms
44 fail, cost: 769 ms
45 fail, cost: 650 ms
46 fail, cost: 1318 ms
47 fail, cost: 831 ms
48 fail, cost: 1064 ms
49 fail, cost: 1283 ms
50 fail, cost: 621 ms
51 fail, cost: 781 ms
52 fail, cost: 896 ms
53 fail, cost: 664 ms
54 fail, cost: 1266 ms
55 fail, cost: 717 ms
56 fail, cost: 756 ms
57 fail, cost: 695 ms
58 fail, cost: 1352 ms
59 fail, cost: 812 ms
60 fail, cost: 750 ms
61 fail, cost: 922 ms
62 fail, cost: 1323 ms
63 fail, cost: 713 ms
64 fail, cost: 852 ms
65 fail, cost: 801 ms
66 fail, cost: 1363 ms
67 fail, cost: 855 ms
68 fail, cost: 771 ms
69 fail, cost: 1329 ms
70 fail, cost: 638 ms
71 fail, cost: 611 ms
72 fail, cost: 788 ms
73 fail, cost: 725 ms
74 fail, cost: 1609 ms
75 fail, cost: 1020 ms
76 fail, cost: 844 ms
77 fail, cost: 1459 ms
78 fail, cost: 746 ms
79 fail, cost: 702 ms
80 fail, cost: 867 ms
81 fail, cost: 1449 ms
82 fail, cost: 814 ms
83 fail, cost: 552 ms
84 fail, cost: 680 ms
85 fail, cost: 1225 ms
86 fail, cost: 512 ms
87 fail, cost: 496 ms
88 fail, cost: 698 ms
89 fail, cost: 1454 ms
90 fail, cost: 669 ms
91 fail, cost: 1013 ms
92 fail, cost: 646 ms
93 fail, cost: 731 ms
94 fail, cost: 1325 ms
95 fail, cost: 583 ms
96 fail, cost: 751 ms
97 fail, cost: 796 ms
98 fail, cost: 1263 ms
99 fail, cost: 543 ms
100 fail, cost: 725 ms
101 fail, cost: 645 ms
102 fail, cost: 1201 ms
103 fail, cost: 617 ms
104 fail, cost: 790 ms
105 fail, cost: 678 ms
106 fail, cost: 1394 ms
107 fail, cost: 554 ms
108 fail, cost: 641 ms
109 fail, cost: 590 ms
110 fail, cost: 802 ms
111 fail, cost: 1327 ms
112 fail, cost: 884 ms
113 fail, cost: 958 ms
114 fail, cost: 672 ms
115 fail, cost: 1353 ms
116 fail, cost: 694 ms
117 fail, cost: 758 ms
118 fail, cost: 747 ms
119 fail, cost: 1266 ms
120 fail, cost: 770 ms
121 fail, cost: 649 ms
122 fail, cost: 692 ms
123 fail, cost: 1133 ms
124 fail, cost: 707 ms
125 fail, cost: 489 ms
126 fail, cost: 613 ms
127 fail, cost: 474 ms
128 fail, cost: 773 ms
129 fail, cost: 1524 ms
130 fail, cost: 678 ms
131 fail, cost: 546 ms
132 fail, cost: 646 ms
133 fail, cost: 1292 ms
134 fail, cost: 480 ms
135 fail, cost: 423 ms
136 fail, cost: 911 ms
137 fail, cost: 673 ms
138 fail, cost: 1304 ms
139 fail, cost: 691 ms
140 fail, cost: 752 ms
141 fail, cost: 669 ms
142 fail, cost: 1298 ms
143 fail, cost: 590 ms
144 fail, cost: 764 ms
145 fail, cost: 672 ms
146 fail, cost: 560 ms
147 fail, cost: 1254 ms
148 fail, cost: 761 ms
149 fail, cost: 847 ms
150 fail, cost: 492 ms
151 fail, cost: 493 ms
152 fail, cost: 1173 ms
153 fail, cost: 783 ms
154 fail, cost: 514 ms
155 fail, cost: 565 ms
156 fail, cost: 1395 ms
157 fail, cost: 607 ms
158 fail, cost: 598 ms
159 fail, cost: 484 ms
160 fail, cost: 791 ms
161 fail, cost: 1112 ms
162 fail, cost: 622 ms
163 fail, cost: 653 ms
164 fail, cost: 626 ms
165 fail, cost: 1209 ms
166 fail, cost: 470 ms
167 fail, cost: 444 ms
168 fail, cost: 639 ms
169 fail, cost: 628 ms
170 fail, cost: 560 ms
171 fail, cost: 1413 ms
172 fail, cost: 671 ms
173 fail, cost: 676 ms
174 fail, cost: 531 ms
175 fail, cost: 1277 ms
176 fail, cost: 674 ms
177 fail, cost: 654 ms
178 fail, cost: 566 ms
179 fail, cost: 555 ms
180 fail, cost: 1266 ms
181 fail, cost: 745 ms
182 fail, cost: 592 ms
183 fail, cost: 494 ms
184 fail, cost: 688 ms
185 fail, cost: 1715 ms
186 fail, cost: 696 ms
187 fail, cost: 635 ms
188 fail, cost: 744 ms
189 fail, cost: 686 ms
190 fail, cost: 1095 ms
191 fail, cost: 437 ms
192 fail, cost: 638 ms
193 fail, cost: 638 ms
194 fail, cost: 1433 ms
195 fail, cost: 884 ms
196 fail, cost: 698 ms
197 fail, cost: 561 ms
198 fail, cost: 692 ms
199 fail, cost: 1094 ms
200 fail, cost: 567 ms
201 fail, cost: 583 ms
202 fail, cost: 528 ms
203 fail, cost: 526 ms
204 fail, cost: 1088 ms
205 fail, cost: 547 ms
206 fail, cost: 547 ms
207 fail, cost: 508 ms
208 fail, cost: 530 ms
209 fail, cost: 614 ms
210 fail, cost: 1390 ms
211 fail, cost: 702 ms
212 fail, cost: 879 ms
213 fail, cost: 1439 ms
214 fail, cost: 851 ms
215 fail, cost: 871 ms
216 fail, cost: 823 ms
217 fail, cost: 1394 ms
218 fail, cost: 754 ms
219 fail, cost: 790 ms
220 fail, cost: 716 ms
221 fail, cost: 629 ms
222 fail, cost: 1089 ms
223 fail, cost: 551 ms
0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 
224 success, cost: 74 ms
225 fail, cost: 824 ms
226 fail, cost: 605 ms
227 fail, cost: 917 ms
228 fail, cost: 1366 ms
229 fail, cost: 702 ms
230 fail, cost: 633 ms
231 fail, cost: 596 ms
232 fail, cost: 1332 ms
233 fail, cost: 1033 ms
234 fail, cost: 698 ms
235 fail, cost: 627 ms
236 fail, cost: 737 ms
237 fail, cost: 1272 ms
238 fail, cost: 465 ms
239 fail, cost: 353 ms
1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 
240 success, cost: 504 ms
241 fail, cost: 595 ms
242 fail, cost: 489 ms
243 fail, cost: 1024 ms
244 fail, cost: 593 ms
245 fail, cost: 516 ms
246 fail, cost: 497 ms
247 fail, cost: 494 ms
248 fail, cost: 1313 ms
249 fail, cost: 565 ms
250 fail, cost: 515 ms
251 fail, cost: 547 ms
252 fail, cost: 631 ms
253 fail, cost: 1103 ms
254 fail, cost: 522 ms
255 fail, cost: 419 ms
