0 fail, cost: 442 ms
1 fail, cost: 339 ms
2 fail, cost: 396 ms
3 fail, cost: 417 ms
4 fail, cost: 1198 ms
5 fail, cost: 552 ms
6 fail, cost: 574 ms
7 fail, cost: 468 ms
8 fail, cost: 827 ms
9 fail, cost: 1303 ms
10 fail, cost: 682 ms
11 fail, cost: 667 ms
12 fail, cost: 732 ms
13 fail, cost: 492 ms
14 fail, cost: 1255 ms
15 fail, cost: 540 ms
16 fail, cost: 672 ms
17 fail, cost: 593 ms
18 fail, cost: 531 ms
19 fail, cost: 1205 ms
20 fail, cost: 689 ms
21 fail, cost: 606 ms
22 fail, cost: 594 ms
23 fail, cost: 523 ms
24 fail, cost: 1244 ms
1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 
25 success, cost: 691 ms
26 fail, cost: 655 ms
27 fail, cost: 583 ms
1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 
28 success, cost: 79 ms
29 fail, cost: 487 ms
30 fail, cost: 1164 ms
31 fail, cost: 431 ms
32 fail, cost: 698 ms
33 fail, cost: 533 ms
34 fail, cost: 737 ms
35 fail, cost: 1205 ms
36 fail, cost: 567 ms
37 fail, cost: 477 ms
38 fail, cost: 592 ms
39 fail, cost: 459 ms
40 fail, cost: 1328 ms
41 fail, cost: 899 ms
42 fail, cost: 701 ms
43 fail, cost: 716 ms
44 fail, cost: 1213 ms
45 fail, cost: 595 ms
46 fail, cost: 490 ms
47 fail, cost: 534 ms
48 fail, cost: 737 ms
49 fail, cost: 1243 ms
50 fail, cost: 701 ms
51 fail, cost: 598 ms
52 fail, cost: 615 ms
53 fail, cost: 563 ms
54 fail, cost: 1236 ms
55 fail, cost: 487 ms
56 fail, cost: 632 ms
57 fail, cost: 610 ms
58 fail, cost: 680 ms
59 fail, cost: 448 ms
60 fail, cost: 1223 ms
61 fail, cost: 690 ms
62 fail, cost: 755 ms
63 fail, cost: 628 ms
64 fail, cost: 1301 ms
65 fail, cost: 553 ms
66 fail, cost: 525 ms
67 fail, cost: 617 ms
68 fail, cost: 569 ms
69 fail, cost: 461 ms
70 fail, cost: 1226 ms
71 fail, cost: 554 ms
72 fail, cost: 626 ms
73 fail, cost: 440 ms
74 fail, cost: 551 ms
75 fail, cost: 1145 ms
76 fail, cost: 545 ms
77 fail, cost: 551 ms
78 fail, cost: 588 ms
79 fail, cost: 671 ms
80 fail, cost: 1222 ms
81 fail, cost: 564 ms
82 fail, cost: 713 ms
83 fail, cost: 564 ms
84 fail, cost: 560 ms
85 fail, cost: 1079 ms
86 fail, cost: 627 ms
87 fail, cost: 507 ms
88 fail, cost: 583 ms
89 fail, cost: 412 ms
90 fail, cost: 1080 ms
91 fail, cost: 455 ms
92 fail, cost: 535 ms
93 fail, cost: 549 ms
94 fail, cost: 611 ms
95 fail, cost: 1244 ms
96 fail, cost: 529 ms
97 fail, cost: 550 ms
98 fail, cost: 693 ms
99 fail, cost: 706 ms
100 fail, cost: 1378 ms
101 fail, cost: 466 ms
102 fail, cost: 648 ms
103 fail, cost: 508 ms
104 fail, cost: 615 ms
105 fail, cost: 535 ms
106 fail, cost: 1197 ms
107 fail, cost: 505 ms
108 fail, cost: 543 ms
109 fail, cost: 556 ms
110 fail, cost: 510 ms
111 fail, cost: 1009 ms
112 fail, cost: 540 ms
113 fail, cost: 514 ms
114 fail, cost: 609 ms
115 fail, cost: 651 ms
116 fail, cost: 1317 ms
117 fail, cost: 708 ms
118 fail, cost: 603 ms
119 fail, cost: 628 ms
120 fail, cost: 605 ms
121 fail, cost: 1286 ms
122 fail, cost: 593 ms
123 fail, cost: 552 ms
124 fail, cost: 788 ms
125 fail, cost: 714 ms
126 fail, cost: 1362 ms
127 fail, cost: 431 ms
128 fail, cost: 516 ms
129 fail, cost: 506 ms
130 fail, cost: 590 ms
131 fail, cost: 1096 ms
132 fail, cost: 631 ms
133 fail, cost: 477 ms
134 fail, cost: 449 ms
135 fail, cost: 414 ms
136 fail, cost: 543 ms
137 fail, cost: 1112 ms
138 fail, cost: 558 ms
139 fail, cost: 568 ms
140 fail, cost: 561 ms
141 fail, cost: 762 ms
142 fail, cost: 1230 ms
143 fail, cost: 650 ms
144 fail, cost: 691 ms
145 fail, cost: 577 ms
146 fail, cost: 470 ms
147 fail, cost: 1174 ms
148 fail, cost: 798 ms
149 fail, cost: 641 ms
150 fail, cost: 550 ms
151 fail, cost: 740 ms
152 fail, cost: 1306 ms
153 fail, cost: 669 ms
154 fail, cost: 614 ms
155 fail, cost: 464 ms
156 fail, cost: 487 ms
157 fail, cost: 1028 ms
158 fail, cost: 441 ms
159 fail, cost: 410 ms
160 fail, cost: 662 ms
161 fail, cost: 483 ms
162 fail, cost: 629 ms
163 fail, cost: 1071 ms
164 fail, cost: 647 ms
165 fail, cost: 525 ms
166 fail, cost: 450 ms
167 fail, cost: 478 ms
168 fail, cost: 1238 ms
169 fail, cost: 466 ms
170 fail, cost: 641 ms
171 fail, cost: 497 ms
172 fail, cost: 497 ms
173 fail, cost: 533 ms
174 fail, cost: 1117 ms
175 fail, cost: 555 ms
176 fail, cost: 714 ms
177 fail, cost: 526 ms
178 fail, cost: 680 ms
179 fail, cost: 1161 ms
180 fail, cost: 655 ms
181 fail, cost: 479 ms
182 fail, cost: 666 ms
183 fail, cost: 465 ms
184 fail, cost: 1263 ms
185 fail, cost: 544 ms
186 fail, cost: 680 ms
187 fail, cost: 658 ms
188 fail, cost: 533 ms
189 fail, cost: 481 ms
190 fail, cost: 1117 ms
191 fail, cost: 436 ms
192 fail, cost: 578 ms
193 fail, cost: 455 ms
194 fail, cost: 451 ms
195 fail, cost: 442 ms
196 fail, cost: 1010 ms
197 fail, cost: 407 ms
198 fail, cost: 378 ms
199 fail, cost: 353 ms
200 fail, cost: 392 ms
201 fail, cost: 431 ms
202 fail, cost: 447 ms
203 fail, cost: 1011 ms
204 fail, cost: 446 ms
205 fail, cost: 482 ms
206 fail, cost: 497 ms
207 fail, cost: 392 ms
208 fail, cost: 449 ms
209 fail, cost: 1042 ms
210 fail, cost: 448 ms
211 fail, cost: 449 ms
212 fail, cost: 439 ms
213 fail, cost: 480 ms
214 fail, cost: 380 ms
215 fail, cost: 995 ms
216 fail, cost: 630 ms
217 fail, cost: 615 ms
218 fail, cost: 647 ms
219 fail, cost: 514 ms
220 fail, cost: 643 ms
221 fail, cost: 1315 ms
222 fail, cost: 597 ms
223 fail, cost: 593 ms
224 fail, cost: 379 ms
225 fail, cost: 331 ms
226 fail, cost: 344 ms
227 fail, cost: 1134 ms
228 fail, cost: 447 ms
229 fail, cost: 494 ms
