0 fail, cost: 623 ms
1 fail, cost: 534 ms
2 fail, cost: 472 ms
3 fail, cost: 577 ms
4 fail, cost: 1427 ms
5 fail, cost: 568 ms
6 fail, cost: 576 ms
7 fail, cost: 726 ms
8 fail, cost: 1355 ms
9 fail, cost: 712 ms
10 fail, cost: 820 ms
11 fail, cost: 585 ms
12 fail, cost: 688 ms
13 fail, cost: 1116 ms
14 fail, cost: 384 ms
15 fail, cost: 338 ms
16 fail, cost: 488 ms
17 fail, cost: 420 ms
18 fail, cost: 386 ms
19 fail, cost: 348 ms
20 fail, cost: 1208 ms
21 fail, cost: 490 ms
22 fail, cost: 426 ms
23 fail, cost: 370 ms
24 fail, cost: 485 ms
25 fail, cost: 438 ms
26 fail, cost: 889 ms
27 fail, cost: 387 ms
28 fail, cost: 466 ms
29 fail, cost: 448 ms
30 fail, cost: 428 ms
31 fail, cost: 297 ms
32 fail, cost: 574 ms
33 fail, cost: 1150 ms
34 fail, cost: 609 ms
35 fail, cost: 573 ms
36 fail, cost: 755 ms
37 fail, cost: 633 ms
38 fail, cost: 1002 ms
39 fail, cost: 465 ms
40 fail, cost: 595 ms
41 fail, cost: 564 ms
42 fail, cost: 558 ms
43 fail, cost: 438 ms
44 fail, cost: 1099 ms
45 fail, cost: 554 ms
46 fail, cost: 383 ms
47 fail, cost: 433 ms
48 fail, cost: 556 ms
49 fail, cost: 453 ms
50 fail, cost: 406 ms
51 fail, cost: 933 ms
52 fail, cost: 524 ms
53 fail, cost: 398 ms
54 fail, cost: 441 ms
55 fail, cost: 321 ms
56 fail, cost: 401 ms
57 fail, cost: 471 ms
58 fail, cost: 437 ms
59 fail, cost: 938 ms
60 fail, cost: 484 ms
61 fail, cost: 450 ms
62 fail, cost: 349 ms
63 fail, cost: 308 ms
64 fail, cost: 680 ms
65 fail, cost: 1178 ms
66 fail, cost: 548 ms
67 fail, cost: 663 ms
68 fail, cost: 692 ms
69 fail, cost: 676 ms
70 fail, cost: 1183 ms
71 fail, cost: 613 ms
