0 fail, cost: 359 ms
1 fail, cost: 354 ms
2 fail, cost: 383 ms
3 fail, cost: 347 ms
4 fail, cost: 505 ms
5 fail, cost: 1137 ms
6 fail, cost: 825 ms
7 fail, cost: 547 ms
8 fail, cost: 752 ms
9 fail, cost: 1097 ms
10 fail, cost: 615 ms
11 fail, cost: 391 ms
12 fail, cost: 394 ms
13 fail, cost: 320 ms
14 fail, cost: 412 ms
15 fail, cost: 307 ms
16 fail, cost: 452 ms
17 fail, cost: 1082 ms
18 fail, cost: 468 ms
19 fail, cost: 430 ms
20 fail, cost: 473 ms
21 fail, cost: 435 ms
22 fail, cost: 1046 ms
23 fail, cost: 573 ms
24 fail, cost: 457 ms
25 fail, cost: 380 ms
26 fail, cost: 291 ms
27 fail, cost: 301 ms
28 fail, cost: 320 ms
29 fail, cost: 316 ms
30 fail, cost: 349 ms
31 fail, cost: 939 ms
32 fail, cost: 596 ms
33 fail, cost: 394 ms
34 fail, cost: 406 ms
35 fail, cost: 390 ms
36 fail, cost: 523 ms
37 fail, cost: 304 ms
38 fail, cost: 971 ms
39 fail, cost: 299 ms
40 fail, cost: 426 ms
41 fail, cost: 415 ms
42 fail, cost: 517 ms
43 fail, cost: 479 ms
44 fail, cost: 1274 ms
45 fail, cost: 370 ms
46 fail, cost: 378 ms
47 fail, cost: 328 ms
48 fail, cost: 402 ms
49 fail, cost: 315 ms
50 fail, cost: 362 ms
51 fail, cost: 272 ms
52 fail, cost: 1149 ms
53 fail, cost: 303 ms
54 fail, cost: 381 ms
55 fail, cost: 421 ms
56 fail, cost: 364 ms
57 fail, cost: 339 ms
58 fail, cost: 407 ms
59 fail, cost: 318 ms
60 fail, cost: 926 ms
61 fail, cost: 298 ms
62 fail, cost: 281 ms
63 fail, cost: 247 ms
64 fail, cost: 558 ms
65 fail, cost: 438 ms
66 fail, cost: 481 ms
67 fail, cost: 1137 ms
68 fail, cost: 546 ms
69 fail, cost: 560 ms
70 fail, cost: 493 ms
71 fail, cost: 463 ms
72 fail, cost: 503 ms
73 fail, cost: 918 ms
74 fail, cost: 419 ms
75 fail, cost: 282 ms
76 fail, cost: 305 ms
77 fail, cost: 396 ms
78 fail, cost: 285 ms
79 fail, cost: 270 ms
80 fail, cost: 525 ms
81 fail, cost: 922 ms
82 fail, cost: 443 ms
83 fail, cost: 407 ms
84 fail, cost: 517 ms
85 fail, cost: 350 ms
86 fail, cost: 319 ms
87 fail, cost: 495 ms
88 fail, cost: 1000 ms
89 fail, cost: 333 ms
90 fail, cost: 327 ms
91 fail, cost: 425 ms
92 fail, cost: 419 ms
93 fail, cost: 415 ms
94 fail, cost: 279 ms
95 fail, cost: 280 ms
96 fail, cost: 1074 ms
97 fail, cost: 288 ms
98 fail, cost: 376 ms
99 fail, cost: 298 ms
100 fail, cost: 541 ms
101 fail, cost: 301 ms
102 fail, cost: 377 ms
103 fail, cost: 248 ms
104 fail, cost: 1159 ms
105 fail, cost: 332 ms
106 fail, cost: 454 ms
107 fail, cost: 452 ms
108 fail, cost: 409 ms
109 fail, cost: 290 ms
110 fail, cost: 380 ms
111 fail, cost: 1002 ms
112 fail, cost: 474 ms
113 fail, cost: 488 ms
114 fail, cost: 459 ms
115 fail, cost: 355 ms
116 fail, cost: 583 ms
117 fail, cost: 342 ms
118 fail, cost: 956 ms
119 fail, cost: 264 ms
120 fail, cost: 434 ms
121 fail, cost: 332 ms
122 fail, cost: 267 ms
123 fail, cost: 257 ms
124 fail, cost: 340 ms
125 fail, cost: 253 ms
126 fail, cost: 274 ms
127 fail, cost: 884 ms
128 fail, cost: 514 ms
129 fail, cost: 519 ms
130 fail, cost: 605 ms
131 fail, cost: 455 ms
132 fail, cost: 469 ms
133 fail, cost: 1111 ms
134 fail, cost: 419 ms
135 fail, cost: 441 ms
136 fail, cost: 541 ms
137 fail, cost: 336 ms
138 fail, cost: 329 ms
139 fail, cost: 292 ms
140 fail, cost: 1018 ms
141 fail, cost: 342 ms
142 fail, cost: 340 ms
143 fail, cost: 424 ms
144 fail, cost: 390 ms
145 fail, cost: 328 ms
146 fail, cost: 370 ms
147 fail, cost: 321 ms
148 fail, cost: 979 ms
149 fail, cost: 356 ms
150 fail, cost: 545 ms
151 fail, cost: 326 ms
152 fail, cost: 393 ms
153 fail, cost: 419 ms
154 fail, cost: 353 ms
155 fail, cost: 917 ms
156 fail, cost: 357 ms
157 fail, cost: 325 ms
158 fail, cost: 405 ms
159 fail, cost: 264 ms
160 fail, cost: 670 ms
161 fail, cost: 415 ms
162 fail, cost: 958 ms
