0 fail, cost: 698 ms
1 fail, cost: 608 ms
2 fail, cost: 1026 ms
3 fail, cost: 1453 ms
4 fail, cost: 739 ms
5 fail, cost: 751 ms
6 fail, cost: 1712 ms
7 fail, cost: 743 ms
8 fail, cost: 1009 ms
9 fail, cost: 605 ms
10 fail, cost: 1235 ms
11 fail, cost: 688 ms
12 fail, cost: 772 ms
13 fail, cost: 689 ms
14 fail, cost: 690 ms
15 fail, cost: 1598 ms
16 fail, cost: 1217 ms
17 fail, cost: 637 ms
18 fail, cost: 629 ms
19 fail, cost: 1269 ms
20 fail, cost: 1058 ms
21 fail, cost: 894 ms
22 fail, cost: 659 ms
23 fail, cost: 1188 ms
24 fail, cost: 764 ms
25 fail, cost: 740 ms
26 fail, cost: 765 ms
27 fail, cost: 1353 ms
28 fail, cost: 701 ms
29 fail, cost: 704 ms
30 fail, cost: 736 ms
31 fail, cost: 1450 ms
32 fail, cost: 948 ms
33 fail, cost: 699 ms
34 fail, cost: 710 ms
35 fail, cost: 1249 ms
36 fail, cost: 672 ms
37 fail, cost: 691 ms
38 fail, cost: 696 ms
39 fail, cost: 1516 ms
40 fail, cost: 685 ms
41 fail, cost: 738 ms
42 fail, cost: 683 ms
43 fail, cost: 1329 ms
44 fail, cost: 612 ms
45 fail, cost: 664 ms
46 fail, cost: 590 ms
47 fail, cost: 547 ms
48 fail, cost: 1316 ms
49 fail, cost: 840 ms
50 fail, cost: 1036 ms
51 fail, cost: 813 ms
52 fail, cost: 1651 ms
53 fail, cost: 757 ms
54 fail, cost: 775 ms
55 fail, cost: 1216 ms
56 fail, cost: 718 ms
57 fail, cost: 668 ms
58 fail, cost: 585 ms
59 fail, cost: 660 ms
60 fail, cost: 1386 ms
61 fail, cost: 722 ms
62 fail, cost: 755 ms
63 fail, cost: 622 ms
64 fail, cost: 1764 ms
65 fail, cost: 955 ms
66 fail, cost: 921 ms
67 fail, cost: 1206 ms
68 fail, cost: 701 ms
69 fail, cost: 767 ms
70 fail, cost: 718 ms
71 fail, cost: 595 ms
72 fail, cost: 1196 ms
73 fail, cost: 742 ms
74 fail, cost: 940 ms
75 fail, cost: 863 ms
76 fail, cost: 1690 ms
77 fail, cost: 873 ms
78 fail, cost: 916 ms
79 fail, cost: 1543 ms
80 fail, cost: 1089 ms
81 fail, cost: 713 ms
82 fail, cost: 814 ms
83 fail, cost: 1508 ms
84 fail, cost: 932 ms
85 fail, cost: 674 ms
86 fail, cost: 1379 ms
87 fail, cost: 666 ms
88 fail, cost: 581 ms
89 fail, cost: 694 ms
90 fail, cost: 1589 ms
91 fail, cost: 771 ms
92 fail, cost: 637 ms
93 fail, cost: 557 ms
