0 fail, cost: 311 ms
1 fail, cost: 418 ms
2 fail, cost: 422 ms
3 fail, cost: 251 ms
4 fail, cost: 722 ms
5 fail, cost: 910 ms
6 fail, cost: 718 ms
7 fail, cost: 366 ms
8 fail, cost: 392 ms
9 fail, cost: 328 ms
10 fail, cost: 425 ms
11 fail, cost: 348 ms
12 fail, cost: 1069 ms
13 fail, cost: 350 ms
14 fail, cost: 495 ms
15 fail, cost: 398 ms
16 fail, cost: 793 ms
17 fail, cost: 390 ms
18 fail, cost: 1347 ms
19 fail, cost: 420 ms
20 fail, cost: 752 ms
21 fail, cost: 380 ms
22 fail, cost: 719 ms
23 fail, cost: 400 ms
24 fail, cost: 1140 ms
25 fail, cost: 431 ms
26 fail, cost: 526 ms
27 fail, cost: 413 ms
28 fail, cost: 378 ms
29 fail, cost: 311 ms
30 fail, cost: 408 ms
31 fail, cost: 863 ms
32 fail, cost: 658 ms
33 fail, cost: 439 ms
34 fail, cost: 785 ms
35 fail, cost: 461 ms
36 fail, cost: 1401 ms
37 fail, cost: 355 ms
38 fail, cost: 923 ms
39 fail, cost: 527 ms
40 fail, cost: 497 ms
41 fail, cost: 374 ms
42 fail, cost: 1145 ms
43 fail, cost: 388 ms
44 fail, cost: 415 ms
45 fail, cost: 332 ms
46 fail, cost: 369 ms
47 fail, cost: 301 ms
48 fail, cost: 542 ms
49 fail, cost: 1007 ms
50 fail, cost: 649 ms
51 fail, cost: 532 ms
52 fail, cost: 864 ms
53 fail, cost: 381 ms
54 fail, cost: 1232 ms
55 fail, cost: 374 ms
56 fail, cost: 425 ms
57 fail, cost: 325 ms
58 fail, cost: 539 ms
59 fail, cost: 327 ms
60 fail, cost: 527 ms
61 fail, cost: 1023 ms
62 fail, cost: 497 ms
63 fail, cost: 352 ms
64 fail, cost: 655 ms
65 fail, cost: 393 ms
66 fail, cost: 630 ms
67 fail, cost: 958 ms
68 fail, cost: 572 ms
69 fail, cost: 385 ms
70 fail, cost: 741 ms
71 fail, cost: 345 ms
72 fail, cost: 1287 ms
73 fail, cost: 317 ms
74 fail, cost: 418 ms
75 fail, cost: 350 ms
76 fail, cost: 464 ms
77 fail, cost: 388 ms
78 fail, cost: 409 ms
79 fail, cost: 370 ms
80 fail, cost: 1475 ms
81 fail, cost: 455 ms
82 fail, cost: 696 ms
83 fail, cost: 377 ms
84 fail, cost: 586 ms
85 fail, cost: 936 ms
86 fail, cost: 545 ms
87 fail, cost: 395 ms
88 fail, cost: 509 ms
89 fail, cost: 338 ms
90 fail, cost: 387 ms
91 fail, cost: 299 ms
92 fail, cost: 427 ms
93 fail, cost: 922 ms
94 fail, cost: 547 ms
95 fail, cost: 366 ms
96 fail, cost: 638 ms
97 fail, cost: 350 ms
98 fail, cost: 749 ms
99 fail, cost: 968 ms
100 fail, cost: 699 ms
101 fail, cost: 497 ms
102 fail, cost: 773 ms
103 fail, cost: 477 ms
104 fail, cost: 1215 ms
105 fail, cost: 622 ms
106 fail, cost: 609 ms
107 fail, cost: 430 ms
108 fail, cost: 445 ms
109 fail, cost: 359 ms
110 fail, cost: 1026 ms
111 fail, cost: 280 ms
112 fail, cost: 743 ms
113 fail, cost: 497 ms
114 fail, cost: 604 ms
115 fail, cost: 1280 ms
116 fail, cost: 749 ms
117 fail, cost: 430 ms
118 fail, cost: 724 ms
119 fail, cost: 435 ms
120 fail, cost: 405 ms
121 fail, cost: 1105 ms
122 fail, cost: 540 ms
123 fail, cost: 444 ms
124 fail, cost: 413 ms
125 fail, cost: 321 ms
126 fail, cost: 377 ms
127 fail, cost: 281 ms
128 fail, cost: 1139 ms
129 fail, cost: 412 ms
130 fail, cost: 748 ms
131 fail, cost: 344 ms
132 fail, cost: 506 ms
133 fail, cost: 392 ms
134 fail, cost: 1403 ms
135 fail, cost: 583 ms
136 fail, cost: 816 ms
137 fail, cost: 505 ms
138 fail, cost: 539 ms
139 fail, cost: 996 ms
140 fail, cost: 405 ms
141 fail, cost: 419 ms
142 fail, cost: 633 ms
143 fail, cost: 357 ms
144 fail, cost: 647 ms
145 fail, cost: 1051 ms
146 fail, cost: 560 ms
147 fail, cost: 408 ms
148 fail, cost: 836 ms
149 fail, cost: 604 ms
150 fail, cost: 1434 ms
151 fail, cost: 467 ms
152 fail, cost: 438 ms
153 fail, cost: 383 ms
154 fail, cost: 530 ms
155 fail, cost: 472 ms
156 fail, cost: 392 ms
157 fail, cost: 905 ms
158 fail, cost: 410 ms
159 fail, cost: 280 ms
160 fail, cost: 685 ms
161 fail, cost: 555 ms
162 fail, cost: 658 ms
163 fail, cost: 1088 ms
164 fail, cost: 745 ms
165 fail, cost: 535 ms
166 fail, cost: 736 ms
167 fail, cost: 464 ms
168 fail, cost: 1149 ms
169 fail, cost: 432 ms
170 fail, cost: 759 ms
171 fail, cost: 492 ms
172 fail, cost: 495 ms
173 fail, cost: 382 ms
174 fail, cost: 1114 ms
175 fail, cost: 461 ms
176 fail, cost: 735 ms
177 fail, cost: 456 ms
178 fail, cost: 763 ms
179 fail, cost: 1074 ms
180 fail, cost: 680 ms
181 fail, cost: 499 ms
182 fail, cost: 689 ms
183 fail, cost: 308 ms
184 fail, cost: 450 ms
185 fail, cost: 423 ms
186 fail, cost: 1046 ms
187 fail, cost: 289 ms
188 fail, cost: 368 ms
189 fail, cost: 292 ms
190 fail, cost: 335 ms
191 fail, cost: 236 ms
192 fail, cost: 626 ms
193 fail, cost: 922 ms
194 fail, cost: 679 ms
195 fail, cost: 302 ms
196 fail, cost: 634 ms
197 fail, cost: 373 ms
198 fail, cost: 702 ms
199 fail, cost: 975 ms
200 fail, cost: 496 ms
201 fail, cost: 329 ms
202 fail, cost: 746 ms
203 fail, cost: 551 ms
204 fail, cost: 450 ms
205 fail, cost: 1002 ms
206 fail, cost: 457 ms
207 fail, cost: 432 ms
208 fail, cost: 832 ms
209 fail, cost: 403 ms
210 fail, cost: 778 ms
211 fail, cost: 1104 ms
212 fail, cost: 724 ms
213 fail, cost: 584 ms
214 fail, cost: 617 ms
215 fail, cost: 406 ms
216 fail, cost: 518 ms
217 fail, cost: 985 ms
218 fail, cost: 416 ms
219 fail, cost: 379 ms
220 fail, cost: 444 ms
221 fail, cost: 479 ms
