0 fail, cost: 661 ms
1 fail, cost: 606 ms
2 fail, cost: 865 ms
3 fail, cost: 1503 ms
4 fail, cost: 684 ms
5 fail, cost: 646 ms
6 fail, cost: 809 ms
7 fail, cost: 1256 ms
8 fail, cost: 967 ms
9 fail, cost: 1135 ms
10 fail, cost: 1430 ms
11 fail, cost: 815 ms
12 fail, cost: 1050 ms
13 fail, cost: 842 ms
14 fail, cost: 1352 ms
15 fail, cost: 770 ms
16 fail, cost: 679 ms
17 fail, cost: 447 ms
18 fail, cost: 441 ms
19 fail, cost: 392 ms
20 fail, cost: 990 ms
21 fail, cost: 344 ms
22 fail, cost: 334 ms
23 fail, cost: 401 ms
24 fail, cost: 564 ms
25 fail, cost: 400 ms
26 fail, cost: 428 ms
27 fail, cost: 964 ms
28 fail, cost: 384 ms
29 fail, cost: 324 ms
30 fail, cost: 355 ms
31 fail, cost: 428 ms
32 fail, cost: 668 ms
33 fail, cost: 748 ms
34 fail, cost: 1294 ms
35 fail, cost: 715 ms
36 fail, cost: 613 ms
37 fail, cost: 541 ms
38 fail, cost: 626 ms
39 fail, cost: 1304 ms
40 fail, cost: 951 ms
41 fail, cost: 753 ms
42 fail, cost: 924 ms
43 fail, cost: 1169 ms
44 fail, cost: 638 ms
45 fail, cost: 644 ms
46 fail, cost: 646 ms
47 fail, cost: 767 ms
48 fail, cost: 1596 ms
49 fail, cost: 826 ms
50 fail, cost: 453 ms
51 fail, cost: 592 ms
52 fail, cost: 1060 ms
53 fail, cost: 353 ms
54 fail, cost: 625 ms
55 fail, cost: 465 ms
56 fail, cost: 633 ms
57 fail, cost: 1317 ms
58 fail, cost: 637 ms
59 fail, cost: 620 ms
60 fail, cost: 543 ms
61 fail, cost: 603 ms
62 fail, cost: 422 ms
63 fail, cost: 1196 ms
64 fail, cost: 663 ms
65 fail, cost: 847 ms
66 fail, cost: 823 ms
67 fail, cost: 1307 ms
68 fail, cost: 812 ms
69 fail, cost: 551 ms
70 fail, cost: 541 ms
71 fail, cost: 497 ms
72 fail, cost: 1615 ms
73 fail, cost: 897 ms
74 fail, cost: 743 ms
75 fail, cost: 1339 ms
76 fail, cost: 932 ms
77 fail, cost: 670 ms
78 fail, cost: 760 ms
79 fail, cost: 540 ms
80 fail, cost: 1341 ms
81 fail, cost: 649 ms
82 fail, cost: 520 ms
83 fail, cost: 661 ms
84 fail, cost: 1431 ms
85 fail, cost: 631 ms
86 fail, cost: 440 ms
87 fail, cost: 368 ms
88 fail, cost: 752 ms
89 fail, cost: 570 ms
90 fail, cost: 1211 ms
91 fail, cost: 616 ms
92 fail, cost: 745 ms
93 fail, cost: 721 ms
94 fail, cost: 420 ms
95 fail, cost: 1172 ms
96 fail, cost: 619 ms
97 fail, cost: 584 ms
98 fail, cost: 581 ms
99 fail, cost: 506 ms
100 fail, cost: 1193 ms
101 fail, cost: 545 ms
102 fail, cost: 602 ms
103 fail, cost: 513 ms
104 fail, cost: 643 ms
105 fail, cost: 514 ms
106 fail, cost: 1187 ms
107 fail, cost: 539 ms
108 fail, cost: 613 ms
109 fail, cost: 623 ms
110 fail, cost: 684 ms
111 fail, cost: 1319 ms
112 fail, cost: 489 ms
113 fail, cost: 448 ms
114 fail, cost: 458 ms
115 fail, cost: 557 ms
116 fail, cost: 1191 ms
117 fail, cost: 442 ms
118 fail, cost: 428 ms
119 fail, cost: 511 ms
120 fail, cost: 596 ms
121 fail, cost: 882 ms
122 fail, cost: 1190 ms
123 fail, cost: 377 ms
124 fail, cost: 764 ms
125 fail, cost: 602 ms
126 fail, cost: 564 ms
127 fail, cost: 1137 ms
128 fail, cost: 732 ms
129 fail, cost: 650 ms
130 fail, cost: 712 ms
131 fail, cost: 577 ms
132 fail, cost: 1263 ms
133 fail, cost: 574 ms
134 fail, cost: 604 ms
135 fail, cost: 756 ms
136 fail, cost: 1389 ms
137 fail, cost: 968 ms
138 fail, cost: 643 ms
139 fail, cost: 896 ms
140 fail, cost: 1630 ms
141 fail, cost: 860 ms
142 fail, cost: 776 ms
143 fail, cost: 674 ms
144 fail, cost: 1587 ms
145 fail, cost: 908 ms
146 fail, cost: 718 ms
147 fail, cost: 424 ms
148 fail, cost: 618 ms
149 fail, cost: 913 ms
150 fail, cost: 378 ms
151 fail, cost: 279 ms
152 fail, cost: 469 ms
153 fail, cost: 410 ms
154 fail, cost: 444 ms
155 fail, cost: 419 ms
156 fail, cost: 356 ms
157 fail, cost: 902 ms
158 fail, cost: 360 ms
0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 
159 success, cost: 355 ms
160 fail, cost: 855 ms
161 fail, cost: 579 ms
162 fail, cost: 1221 ms
163 fail, cost: 624 ms
164 fail, cost: 774 ms
165 fail, cost: 856 ms
166 fail, cost: 1342 ms
167 fail, cost: 936 ms
168 fail, cost: 812 ms
169 fail, cost: 667 ms
170 fail, cost: 702 ms
171 fail, cost: 1263 ms
172 fail, cost: 943 ms
173 fail, cost: 956 ms
174 fail, cost: 697 ms
175 fail, cost: 1282 ms
176 fail, cost: 868 ms
177 fail, cost: 533 ms
178 fail, cost: 701 ms
179 fail, cost: 757 ms
180 fail, cost: 1112 ms
181 fail, cost: 428 ms
182 fail, cost: 391 ms
183 fail, cost: 309 ms
184 fail, cost: 488 ms
185 fail, cost: 372 ms
186 fail, cost: 420 ms
187 fail, cost: 977 ms
188 fail, cost: 343 ms
189 fail, cost: 324 ms
190 fail, cost: 614 ms
191 fail, cost: 362 ms
192 fail, cost: 619 ms
193 fail, cost: 588 ms
194 fail, cost: 1127 ms
195 fail, cost: 534 ms
196 fail, cost: 678 ms
197 fail, cost: 588 ms
198 fail, cost: 610 ms
199 fail, cost: 1190 ms
200 fail, cost: 659 ms
201 fail, cost: 585 ms
202 fail, cost: 646 ms
203 fail, cost: 524 ms
204 fail, cost: 1294 ms
205 fail, cost: 812 ms
206 fail, cost: 669 ms
207 fail, cost: 660 ms
208 fail, cost: 1399 ms
209 fail, cost: 630 ms
210 fail, cost: 781 ms
211 fail, cost: 615 ms
212 fail, cost: 718 ms
213 fail, cost: 1214 ms
214 fail, cost: 606 ms
215 fail, cost: 659 ms
216 fail, cost: 474 ms
217 fail, cost: 698 ms
218 fail, cost: 571 ms
219 fail, cost: 1169 ms
220 fail, cost: 732 ms
221 fail, cost: 640 ms
222 fail, cost: 745 ms
223 fail, cost: 1150 ms
224 fail, cost: 765 ms
225 fail, cost: 579 ms
226 fail, cost: 540 ms
227 fail, cost: 525 ms
228 fail, cost: 565 ms
229 fail, cost: 1143 ms
230 fail, cost: 583 ms
231 fail, cost: 501 ms
232 fail, cost: 606 ms
233 fail, cost: 520 ms
234 fail, cost: 1129 ms
235 fail, cost: 476 ms
236 fail, cost: 692 ms
237 fail, cost: 487 ms
238 fail, cost: 547 ms
239 fail, cost: 481 ms
240 fail, cost: 1209 ms
241 fail, cost: 391 ms
242 fail, cost: 449 ms
243 fail, cost: 375 ms
244 fail, cost: 346 ms
245 fail, cost: 354 ms
246 fail, cost: 388 ms
247 fail, cost: 895 ms
248 fail, cost: 557 ms
249 fail, cost: 438 ms
250 fail, cost: 381 ms
251 fail, cost: 302 ms
252 fail, cost: 522 ms
253 fail, cost: 379 ms
254 fail, cost: 883 ms
255 fail, cost: 594 ms
