0 fail, cost: 460 ms
1 fail, cost: 403 ms
2 fail, cost: 559 ms
3 fail, cost: 571 ms
4 fail, cost: 1238 ms
5 fail, cost: 652 ms
6 fail, cost: 674 ms
7 fail, cost: 718 ms
8 fail, cost: 678 ms
9 fail, cost: 1146 ms
10 fail, cost: 553 ms
11 fail, cost: 621 ms
12 fail, cost: 776 ms
13 fail, cost: 531 ms
14 fail, cost: 1230 ms
15 fail, cost: 756 ms
16 fail, cost: 936 ms
17 fail, cost: 765 ms
18 fail, cost: 1573 ms
19 fail, cost: 512 ms
20 fail, cost: 950 ms
21 fail, cost: 499 ms
22 fail, cost: 1622 ms
23 fail, cost: 767 ms
24 fail, cost: 992 ms
25 fail, cost: 621 ms
26 fail, cost: 1320 ms
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 
27 success, cost: 590 ms
28 fail, cost: 910 ms
29 fail, cost: 792 ms
30 fail, cost: 1532 ms
31 fail, cost: 534 ms
32 fail, cost: 709 ms
33 fail, cost: 585 ms
34 fail, cost: 623 ms
35 fail, cost: 1367 ms
36 fail, cost: 743 ms
37 fail, cost: 696 ms
38 fail, cost: 710 ms
39 fail, cost: 1265 ms
40 fail, cost: 826 ms
41 fail, cost: 560 ms
42 fail, cost: 626 ms
43 fail, cost: 1352 ms
44 fail, cost: 1045 ms
45 fail, cost: 653 ms
46 fail, cost: 722 ms
47 fail, cost: 1420 ms
48 fail, cost: 885 ms
49 fail, cost: 829 ms
50 fail, cost: 796 ms
51 fail, cost: 1100 ms
52 fail, cost: 712 ms
53 fail, cost: 843 ms
54 fail, cost: 900 ms
55 fail, cost: 1580 ms
56 fail, cost: 781 ms
57 fail, cost: 811 ms
58 fail, cost: 634 ms
59 fail, cost: 1172 ms
60 fail, cost: 965 ms
61 fail, cost: 675 ms
62 fail, cost: 667 ms
63 fail, cost: 473 ms
64 fail, cost: 1389 ms
65 fail, cost: 755 ms
66 fail, cost: 857 ms
67 fail, cost: 779 ms
68 fail, cost: 1280 ms
69 fail, cost: 728 ms
70 fail, cost: 1081 ms
71 fail, cost: 624 ms
72 fail, cost: 1335 ms
73 fail, cost: 609 ms
74 fail, cost: 662 ms
75 fail, cost: 665 ms
76 fail, cost: 683 ms
77 fail, cost: 1180 ms
78 fail, cost: 555 ms
79 fail, cost: 635 ms
80 fail, cost: 924 ms
81 fail, cost: 1266 ms
82 fail, cost: 987 ms
83 fail, cost: 611 ms
84 fail, cost: 986 ms
85 fail, cost: 1375 ms
86 fail, cost: 936 ms
87 fail, cost: 556 ms
88 fail, cost: 680 ms
89 fail, cost: 1175 ms
90 fail, cost: 555 ms
91 fail, cost: 548 ms
92 fail, cost: 635 ms
93 fail, cost: 592 ms
94 fail, cost: 1177 ms
95 fail, cost: 572 ms
96 fail, cost: 647 ms
97 fail, cost: 637 ms
98 fail, cost: 804 ms
99 fail, cost: 1376 ms
100 fail, cost: 870 ms
101 fail, cost: 652 ms
102 fail, cost: 929 ms
103 fail, cost: 1454 ms
104 fail, cost: 958 ms
105 fail, cost: 757 ms
106 fail, cost: 1453 ms
107 fail, cost: 559 ms
108 fail, cost: 761 ms
109 fail, cost: 620 ms
110 fail, cost: 782 ms
1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 
111 success, cost: 983 ms
112 fail, cost: 690 ms
113 fail, cost: 535 ms
114 fail, cost: 565 ms
115 fail, cost: 482 ms
116 fail, cost: 1186 ms
117 fail, cost: 448 ms
118 fail, cost: 548 ms
119 fail, cost: 456 ms
120 fail, cost: 997 ms
121 fail, cost: 1397 ms
122 fail, cost: 741 ms
123 fail, cost: 609 ms
124 fail, cost: 787 ms
125 fail, cost: 625 ms
126 fail, cost: 1403 ms
127 fail, cost: 812 ms
128 fail, cost: 996 ms
129 fail, cost: 644 ms
130 fail, cost: 1546 ms
131 fail, cost: 656 ms
132 fail, cost: 718 ms
133 fail, cost: 708 ms
134 fail, cost: 1284 ms
135 fail, cost: 664 ms
136 fail, cost: 634 ms
137 fail, cost: 524 ms
138 fail, cost: 601 ms
139 fail, cost: 1113 ms
140 fail, cost: 716 ms
141 fail, cost: 515 ms
142 fail, cost: 598 ms
143 fail, cost: 548 ms
144 fail, cost: 1372 ms
145 fail, cost: 682 ms
146 fail, cost: 683 ms
147 fail, cost: 903 ms
148 fail, cost: 1390 ms
149 fail, cost: 612 ms
150 fail, cost: 1038 ms
151 fail, cost: 753 ms
152 fail, cost: 1365 ms
153 fail, cost: 538 ms
154 fail, cost: 663 ms
155 fail, cost: 710 ms
156 fail, cost: 602 ms
157 fail, cost: 1307 ms
158 fail, cost: 757 ms
159 fail, cost: 572 ms
160 fail, cost: 794 ms
161 fail, cost: 799 ms
